,sentences,words,word_meanings,predict_meaning,trues,second_trues
69,瑟【兮】僴兮，赫兮喧兮,兮,"1、xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”
<例句：与天地兮比寿，与日月兮齐光。>
",xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”,1,0
70,瑟兮僴【兮】，赫兮喧兮,兮,"1、xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”
<例句：与天地兮比寿，与日月兮齐光。>
",xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”,1,0
71,瑟兮僴兮，赫【兮】喧兮,兮,"1、xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”
<例句：与天地兮比寿，与日月兮齐光。>
",xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”,1,0
72,瑟兮僴兮，赫兮喧【兮】,兮,"1、xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”
<例句：与天地兮比寿，与日月兮齐光。>
",xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”,1,0
73,有斐君子，终不可諠【兮】！”“如切如磋”者，道学也,兮,"1、xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”
<例句：与天地兮比寿，与日月兮齐光。>
",xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”,1,0
74,有斐君子，终不可諠兮！”“如切如磋”【者】，道学也,者,"1、助词，主要有两种用法。一种是附在别的词或短语之后，组成名词性短语。
<例句：将藏之于家，使来者读之，悲予志焉。>
<例句：用叶者取叶初长足时，用芽者自从本说，用花者取花初敷时，用实者成实时采。>
2、""者""的另一种用法是放在一个词或一组词后边，起提顿作用，先用""……者""提出在说明的事物，稍微停顿一下，然后说明或论断。
<例句：大阉之乱，缙绅而能不易其志者，四海之大，有几人欤？>
<例句：古之让天子者，是去监门之养而离臣虏之劳也。>
3、""者""有时放在时间副词之后，起语助作用，可不译。
<例句：今者项庄拔剑舞，其意常在沛公也。>
4、""者""有时放在数词后边，可译为""个""""样""之类。
<例句：此数者用兵之患也，而操皆冒行之。>
","""者""有时放在时间副词之后，起语助作用，可不译。[""者""有时放在时间副词之后，起语助作用，可不译。]",0,1
75,有斐君子，终不可諠兮！”“如切如磋”者，道【学】也,学,"1、<动>学习
<例句：学而时习之，不亦说乎。>
2、<名>学问；知识
<例句：人之为学有难易乎。>
3、<名>学校
<例句：今诸生学于太学。>
",<名>学问；知识[<名>学问；知识],0,1
76,“如琢如磨”【者】，自修也,者,"1、助词，主要有两种用法。一种是附在别的词或短语之后，组成名词性短语。
<例句：将藏之于家，使来者读之，悲予志焉。>
<例句：用叶者取叶初长足时，用芽者自从本说，用花者取花初敷时，用实者成实时采。>
2、""者""的另一种用法是放在一个词或一组词后边，起提顿作用，先用""……者""提出在说明的事物，稍微停顿一下，然后说明或论断。
<例句：大阉之乱，缙绅而能不易其志者，四海之大，有几人欤？>
<例句：古之让天子者，是去监门之养而离臣虏之劳也。>
3、""者""有时放在时间副词之后，起语助作用，可不译。
<例句：今者项庄拔剑舞，其意常在沛公也。>
4、""者""有时放在数词后边，可译为""个""""样""之类。
<例句：此数者用兵之患也，而操皆冒行之。>
","""者""有时放在时间副词之后，起语助作用，可不译。[""者""有时放在时间副词之后，起语助作用，可不译。]",0,1
77,“如琢如磨”者，【自】修也,自,"1、<代>自己
<例句：庞涓自知智穷兵败，乃自刭。>
<例句：于是焉河伯欣然自喜。>
2、<副>亲自
<例句：赵王及平原君自迎公子于界。>
<例句：项王乃悲歌慷慨，自为诗曰……。>
3、<代>其；他（她）的
<例句：中有双飞鸟，自名为鸳鸯。>
<例句：秦氏有好女，自。名为罗敷>
4、<副>原来；本来
<例句：使君自有妇，罗敷。有夫>
<例句：我自不驱卿，逼迫有阿母。>
5、<副>自然；当然
<例句：以手拂之，其印自落，殊不沾污。>
<例句：思念存想，自见异物也。>
6、<介>从；由
<例句：其剑自舟中坠于水。>
<例句：越明年，贫者自南海还。>
7、<介>在；自从
<例句：自三峡七百里中，两岸连山，略无阙处。>
<例句：自君别我后，人事不可量。>
8、<连>常“自非”连用，相当于“除非”、“假如不是”
<例句：自非亭午夜分，不见曦月。>
<例句：唯圣人能内外无患，自非圣人，外宁必有内忧。>
9、<连>表示让步，相当于“即使”
<例句：昌为人强力，敢直言，自萧、曹等皆卑下之。>
10、<助>增音节，不译
<例句：物物各自异。种种在其中。>
",<代>自己,1,0
78,“瑟【兮】僴兮”者，恂慄也,兮,"1、xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”
<例句：与天地兮比寿，与日月兮齐光。>
",xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”,1,0
79,“瑟兮僴【兮】”者，恂慄也,兮,"1、xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”
<例句：与天地兮比寿，与日月兮齐光。>
",xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”,1,0
80,“赫【兮】喧兮”者，威仪也,兮,"1、xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”
<例句：与天地兮比寿，与日月兮齐光。>
",xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”,1,0
81,“赫兮喧【兮】”者，威仪也,兮,"1、xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”
<例句：与天地兮比寿，与日月兮齐光。>
",xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”,1,0
82,“有斐君子，【终】不可諠兮”者，道盛德至善，民之不能忘也,终,"1、<动>终了；结束
<例句：祖母无臣，无以终余年。>
2、<动>坚持到底
<例句：善始者实繁，克终者盖寡。>
3、<动>死
<例句：未果，寻病终。>
4、<副>自始至终
<例句：虽然，受地于先王，愿终守之，弗敢易。>
5、<副>终究；终归
<例句：齐人未尝赂秦，终继五国迁灭。>
6、<形>全；整
<例句：吾尝终日而思矣，不如须臾之所学也。>
",<副>自始至终,1,0
83,“有斐君子，终【不】可諠兮”者，道盛德至善，民之不能忘也,不,"1、<副>不,表一般否定
2、<副>没有,表存在的否定
<例句：今日出而从日中不决何也?>
3、<副>不是,表否定判断
<例句：又何往而不金玉其外败絮其中也哉。>
4、通“否”
5、<助>在句末表询问
<例句：秦王以十五城请易寡人之璧可予不?>
6、<副>用在句中表否定
<例句：不者若属皆为所虏。>
<例句：或师焉或不焉。>
","<副>不是,表否定判断",1,0
84,“有斐君子，终不可諠【兮】”者，道盛德至善，民之不能忘也,兮,"1、xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”
<例句：与天地兮比寿，与日月兮齐光。>
",xī<助>表示停顿或舒缓语气，相当于“啊”、“呀”,1,0
85,“有斐君子，终不可諠兮”者，道盛德【至】善，民之不能忘也,至,"1、<动>来到；到达
<例句：王无罪岁，斯天下之民至焉。>
2、<形>达到顶点
<例句：二者用精至矣。>
3、<形>周到
<例句：或遇其叱咄，色愈恭，礼愈至，不敢出一言以复。>
4、<副>极；最
<例句：寡助之至，亲戚畔之。>
5、<连>至于
<例句：至桀、纣之暴，犹谓汤、武不当诛之。>
",<形>达到顶点[<形>达到顶点],0,1
86,“有斐君子，终不可諠兮”者，道盛德至善，【民】之不能忘也,民,"1、<名>古指奴隶，泛指庶民百姓
<例句：古者有四民：有士民，有商民，有农民，有工民。>
2、<名>人
<例句：上古之世，……民食果蓏蜯蛤，腥臊恶臭而伤腹胃，民多疾病。>
",<名>古指奴隶，泛指庶民百姓,1,0
87,《【诗】》云：“於戏，前王不忘！”君子贤其贤而亲其亲，小人乐其乐而利其利，此以没世不忘也,诗,"1、<名>一种文学体裁；诗歌
<例句：时人伤之，为诗云尔。>
2、<名>指《诗经》
<例句：诗云：‘他人有心，予忖度之。’>
",<名>指《诗经》,1,0
88,《诗》【云】：“於戏，前王不忘！”君子贤其贤而亲其亲，小人乐其乐而利其利，此以没世不忘也,云,"1、<动>说
<例句：古人云：‘死生亦大矣。’>
2、<动>有
<例句：其云益乎。>
3、<代>如此；这样
<例句：士大夫之族，曰师曰弟子云者，则群聚而笑之。>
4、<助>用于句首、句中、句末，无意义
<例句：云何吁矣>
<例句：日云莫矣。>
<例句：盖大苏泛赤壁云。>
5、<名>话
<例句：勿复有云。>
6、<名>云彩
<例句：云无心以出岫。>
7、<形>盛多的样子
<例句：天下云集响应。>
",<动>说[<动>说],0,1
89,《诗》云：“於戏，前王不忘！”君子贤其【贤】而亲其亲，小人乐其乐而利其利，此以没世不忘也,贤,"1、<形>有道德的；有才能的
<例句：亲贤臣，远小人。>
2、<名>有德有才的人
<例句：宽厚而爱人，尊贤而重士。>
3、<形>善；好
<例句：非不贤也，为其不可得而法。>
4、<形>胜于；甚于
<例句：老臣窃以为媪之爱燕后贤于长安君。>
",<名>有德有才的人,1,0
90,《诗》云：“於戏，前王不忘！”君子贤其贤【而】亲其亲，小人乐其乐而利其利，此以没世不忘也,而,"1、表示并列关系。
<例句：蟹六跪而二螯，非蛇鳝之穴无可寄托者>
<例句：剑阁峥嵘而崔嵬，一夫当关，万夫莫开>
<例句：北救赵而西却秦，此五霸之伐也>
2、表示递进关系。
<例句：君子博学而日参省乎己。>
<例句：楚怀王贪而信张仪，遂绝齐>
<例句：回视日观以西峰，或得日，或否，绛皜驳色，而皆若偻>
<例句：以其求思之深而无不在也>
3、表示承接关系。
<例句：故舍汝而旅食京师，以求斗斛之禄>
<例句：置之地，拔剑撞而破之。>
<例句：积善成德，而神明自得，圣心备焉。>
<例句：人非生而知之者，孰能无惑>
4、表示转折关系。
<例句：青，取之于蓝，而青于蓝>
<例句：有如此之势，而为秦人积威之所劫>
<例句：信也，吾兄之盛德而夭其嗣乎>
5、表示假设关系。
<例句：诸君而有意，瞻予马首可也。>
<例句：死而有知，其几何离>
<例句：锲而不舍，金石可镂。>
<例句：人而无信，不知其可也。>
6、表示修饰关系。
<例句：吾尝跂而望矣，不如登高之博见也>
<例句：填然鼓之，兵刃既接，弃甲曳兵而走>
<例句：项王按剑而跽曰：""客何为者？"">
7、表示因果关系。
<例句：余亦悔其随之而不得极夫游之乐也>
<例句：表恶其能而不用也>
<例句：小人不知天命而不畏也。>
8、表示目的关系。
<例句：缦立远视，而望幸焉>
<例句：籍吏民，封府库，而待将军>
<例句：吾恂恂而起。>
9、代词。第二人称，一般作定语，译为""你的""，偶尔也作主语，译为""你""。
<例句：而翁长铨，迁我京职，则汝朝夕侍母。>
10、相当于“以”，表范围。
<例句：形而上者谓之道，形而下者谓之器>
11、表反问语气，相当于“岂”。
<例句：为仁由己，而由人乎哉>
12、动词。同“如”，好像，如同。
<例句：溺死者千有余人军惊而坏都舍。>
13、复音虚词""而已""。放在句末，表示限止的语气助词，相当于""罢了""。
<例句：一人、一桌、一椅、一扇、一抚尺而已。>
<例句：闻道有先后，术业有专攻，如是而已。>
",表示并列关系。,1,0
91,《诗》云：“於戏，前王不忘！”君子贤其贤而亲其亲，小人乐其乐【而】利其利，此以没世不忘也,而,"1、表示并列关系。
<例句：蟹六跪而二螯，非蛇鳝之穴无可寄托者>
<例句：剑阁峥嵘而崔嵬，一夫当关，万夫莫开>
<例句：北救赵而西却秦，此五霸之伐也>
2、表示递进关系。
<例句：君子博学而日参省乎己。>
<例句：楚怀王贪而信张仪，遂绝齐>
<例句：回视日观以西峰，或得日，或否，绛皜驳色，而皆若偻>
<例句：以其求思之深而无不在也>
3、表示承接关系。
<例句：故舍汝而旅食京师，以求斗斛之禄>
<例句：置之地，拔剑撞而破之。>
<例句：积善成德，而神明自得，圣心备焉。>
<例句：人非生而知之者，孰能无惑>
4、表示转折关系。
<例句：青，取之于蓝，而青于蓝>
<例句：有如此之势，而为秦人积威之所劫>
<例句：信也，吾兄之盛德而夭其嗣乎>
5、表示假设关系。
<例句：诸君而有意，瞻予马首可也。>
<例句：死而有知，其几何离>
<例句：锲而不舍，金石可镂。>
<例句：人而无信，不知其可也。>
6、表示修饰关系。
<例句：吾尝跂而望矣，不如登高之博见也>
<例句：填然鼓之，兵刃既接，弃甲曳兵而走>
<例句：项王按剑而跽曰：""客何为者？"">
7、表示因果关系。
<例句：余亦悔其随之而不得极夫游之乐也>
<例句：表恶其能而不用也>
<例句：小人不知天命而不畏也。>
8、表示目的关系。
<例句：缦立远视，而望幸焉>
<例句：籍吏民，封府库，而待将军>
<例句：吾恂恂而起。>
9、代词。第二人称，一般作定语，译为""你的""，偶尔也作主语，译为""你""。
<例句：而翁长铨，迁我京职，则汝朝夕侍母。>
10、相当于“以”，表范围。
<例句：形而上者谓之道，形而下者谓之器>
11、表反问语气，相当于“岂”。
<例句：为仁由己，而由人乎哉>
12、动词。同“如”，好像，如同。
<例句：溺死者千有余人军惊而坏都舍。>
13、复音虚词""而已""。放在句末，表示限止的语气助词，相当于""罢了""。
<例句：一人、一桌、一椅、一扇、一抚尺而已。>
<例句：闻道有先后，术业有专攻，如是而已。>
",表示并列关系。,1,0
92,《康诰》【曰】：“克明德,曰,"1、<动>说
<例句：君子曰：学不可以已。>
2、<动>称为
<例句：齐有处士曰钟离子。>
3、<动>是，举例时用
<例句：按诸五人，曰颜佩伟，杨念如……>
4、<动>为
<例句：先帝称之曰能。>
5、<助>用于句首
<例句：曰为改岁，入此室处。>
",<动>说,1,0
93,”《大甲》【曰】：“顾諟天之明命,曰,"1、<动>说
<例句：君子曰：学不可以已。>
2、<动>称为
<例句：齐有处士曰钟离子。>
3、<动>是，举例时用
<例句：按诸五人，曰颜佩伟，杨念如……>
4、<动>为
<例句：先帝称之曰能。>
5、<助>用于句首
<例句：曰为改岁，入此室处。>
",<动>说,1,0
94,”《大甲》曰：“顾諟天之【明】命,明,"1、<形>明亮
<例句：至莫夜月明，独与迈乘小舟至绝壁下。>
2、<动>照亮
<例句：方是时余之力尚足以入，火尚足以明也。>
3、<形>明白；清楚
<例句：名实已明，而天下之理得矣。>
4、<动>证明；说明
<例句：亦以明死生之大，匹夫之有重于社稷也。>
5、<动>明确
<例句：明法度，定律令，皆以始皇起。>
6、<形>英明；高明；明智
<例句：臣虽下愚，知其不可，而况于明哲乎。>
7、<名>智慧
<例句：积善成德，而神明自得，圣心备焉。>
8、<名>视力
<例句：明足以察秋毫之末。>
9、<形>次；下一个（专指年、月、日）
<例句：明年，贫僧自南海还。>
10、<名>明朝
",<名>明朝[<名>明朝],0,1
95,”《帝典》【曰】：“克明峻德,曰,"1、<动>说
<例句：君子曰：学不可以已。>
2、<动>称为
<例句：齐有处士曰钟离子。>
3、<动>是，举例时用
<例句：按诸五人，曰颜佩伟，杨念如……>
4、<动>为
<例句：先帝称之曰能。>
5、<助>用于句首
<例句：曰为改岁，入此室处。>
",<动>说,1,0
96,”【皆】自明也,皆,"1、<副>全；都；尽
<例句：过也，人皆见之。>
2、<副>一起；同时
<例句：吾欲与子皆行。>
",<副>全；都；尽[<副>全；都；尽],0,1
97,”皆【自】明也,自,"1、<代>自己
<例句：庞涓自知智穷兵败，乃自刭。>
<例句：于是焉河伯欣然自喜。>
2、<副>亲自
<例句：赵王及平原君自迎公子于界。>
<例句：项王乃悲歌慷慨，自为诗曰……。>
3、<代>其；他（她）的
<例句：中有双飞鸟，自名为鸳鸯。>
<例句：秦氏有好女，自。名为罗敷>
4、<副>原来；本来
<例句：使君自有妇，罗敷。有夫>
<例句：我自不驱卿，逼迫有阿母。>
5、<副>自然；当然
<例句：以手拂之，其印自落，殊不沾污。>
<例句：思念存想，自见异物也。>
6、<介>从；由
<例句：其剑自舟中坠于水。>
<例句：越明年，贫者自南海还。>
7、<介>在；自从
<例句：自三峡七百里中，两岸连山，略无阙处。>
<例句：自君别我后，人事不可量。>
8、<连>常“自非”连用，相当于“除非”、“假如不是”
<例句：自非亭午夜分，不见曦月。>
<例句：唯圣人能内外无患，自非圣人，外宁必有内忧。>
9、<连>表示让步，相当于“即使”
<例句：昌为人强力，敢直言，自萧、曹等皆卑下之。>
10、<助>增音节，不译
<例句：物物各自异。种种在其中。>
",<代>自己,1,0
98,”皆自【明】也,明,"1、<形>明亮
<例句：至莫夜月明，独与迈乘小舟至绝壁下。>
2、<动>照亮
<例句：方是时余之力尚足以入，火尚足以明也。>
3、<形>明白；清楚
<例句：名实已明，而天下之理得矣。>
4、<动>证明；说明
<例句：亦以明死生之大，匹夫之有重于社稷也。>
5、<动>明确
<例句：明法度，定律令，皆以始皇起。>
6、<形>英明；高明；明智
<例句：臣虽下愚，知其不可，而况于明哲乎。>
7、<名>智慧
<例句：积善成德，而神明自得，圣心备焉。>
8、<名>视力
<例句：明足以察秋毫之末。>
9、<形>次；下一个（专指年、月、日）
<例句：明年，贫僧自南海还。>
10、<名>明朝
",<名>明朝[<名>明朝],0,1
99,汤之《盘铭》【曰】：“苟日新，日日新，又日新,曰,"1、<动>说
<例句：君子曰：学不可以已。>
2、<动>称为
<例句：齐有处士曰钟离子。>
3、<动>是，举例时用
<例句：按诸五人，曰颜佩伟，杨念如……>
4、<动>为
<例句：先帝称之曰能。>
5、<助>用于句首
<例句：曰为改岁，入此室处。>
",<动>说[<动>说],0,1
100,汤之《盘铭》曰：“苟日新，日日新，【又】日新,又,"1、<副>再；还
<例句：子又生孙，孙又生子。>
2、<副>更
<例句：盖其又深，则其至又加少矣。>
3、<副>却
<例句：汉已幸胜之矣，又不易其所以然。>
",<副>再；还[<副>再；还],0,1
101,”《康诰》【曰】：“作新民,曰,"1、<动>说
<例句：君子曰：学不可以已。>
2、<动>称为
<例句：齐有处士曰钟离子。>
3、<动>是，举例时用
<例句：按诸五人，曰颜佩伟，杨念如……>
4、<动>为
<例句：先帝称之曰能。>
5、<助>用于句首
<例句：曰为改岁，入此室处。>
",<动>说,1,0
102,”《【诗】》曰：“周虽旧邦，其命维新,诗,"1、<名>一种文学体裁；诗歌
<例句：时人伤之，为诗云尔。>
2、<名>指《诗经》
<例句：诗云：‘他人有心，予忖度之。’>
",<名>指《诗经》,1,0
103,”《诗》【曰】：“周虽旧邦，其命维新,曰,"1、<动>说
<例句：君子曰：学不可以已。>
2、<动>称为
<例句：齐有处士曰钟离子。>
3、<动>是，举例时用
<例句：按诸五人，曰颜佩伟，杨念如……>
4、<动>为
<例句：先帝称之曰能。>
5、<助>用于句首
<例句：曰为改岁，入此室处。>
",<动>说,1,0
104,”是故君子【无】所不用其极,无,"1、<动>没有
<例句：黔无驴，有好事者船载以入。>
2、<副>不；别
<例句：硕鼠硕鼠，无食我麦。>
3、<连>不论；无论
<例句：是故无贵无贱，无长无少，道之所存师之所存也。>
4、<形>贫穷；无资财
<例句：礼生于有而废于无。>
",<动>没有,1,0
105,”是故君子无所不【用】其极,用,"1、<动>使用
<例句：察邻国之政，无如寡人之用心也。>
2、<动>任用
<例句：忠不必用兮，贤不必以。>
3、<动>效力
<例句：吴广素爱人，士卒多为用者。>
4、<动>需要，多用于否定
<例句：木兰不用尚书郎。>
5、<名>才能
<例句：彼虽善是，其用不足称也。>
6、<名>资财
<例句：强本而节用。>
7、<名>用处；作用
<例句：此率民出于无用者，何至今不杀乎。>
8、<介>根据；凭
<例句：何用识夫婿。>
9、<介>因为；由于
<例句：非蛇蟮之穴无可寄托者，用心躁也。>
10、<介>在
<例句：古法采草药多用二月、八月，此殊未当。>
",<动>使用,1,0
106,”是故君子无所不用【其】极,其,"2、第三人称代词。一般代人，用在动词或形容词之前，作主谓短语中的小主语。
<例句：秦王恐其破璧（《廉颇蔺相如列传》）""其破璧""作宾语）\n>
3、的""。
<例句：今肃迎操，操当以肃还付乡党，品其名位，犹不失下曹从事。>
<例句：而余亦悔其随之而不得极夫游之乐也。>
4、指示代词，表远指。作定语，可译为""那""""那个""""那些""""那里""。
<例句：则或咎其欲出者。>
<例句：今操得荆州，奄有其地。>
5、指示代词，表示""其中的""，后面多为数词。
<例句：于乱石间择其一二扣之。>
6、指示代词，表示近指，相当于“这”，“这个”，“这些”。
<例句：有蒋氏者，专其利三世矣。>
",。,1,0
107,”是故君子无所不用其【极】,极,"1、<名>房顶正中的大梁
<例句：茂初在广汉，梦坐大殿，极上有三穗禾。>
2、<名>屋顶；屋脊
<例句：牗其前以通明，屋极有窗以达气。>
3、<名>辘轳的横梁
<例句：泰山之霤穿石，单极之绠断干。>
4、<名>尽头；顶点
<例句：吾王之好鼓乐，夫何使我至于此极也。>
5、<名>最高的境地
<例句：大抵诗欲工而工非诗之极也。>
6、<名>边；边境
<例句：往古之时，四极废，九州裂，天不兼覆，地不周载。>
7、<动>到达尽头，到达顶点
<例句：尽态极妍。>
8、<动>穷尽；完全占有或享受
<例句：而余亦悔其随之而不得极夫游之乐也。>
9、<形>疲劳；困倦
<例句：匈喘胅汗，人极马倦。>
10、<副>最；非常；极其
<例句：初极狭，才通人。>
",<名>最高的境地[<名>最高的境地],0,1
108,《【诗】》云：“邦畿千里，维民所止,诗,"1、<名>一种文学体裁；诗歌
<例句：时人伤之，为诗云尔。>
2、<名>指《诗经》
<例句：诗云：‘他人有心，予忖度之。’>
",<名>指《诗经》,1,0
109,《诗》【云】：“邦畿千里，维民所止,云,"1、<动>说
<例句：古人云：‘死生亦大矣。’>
2、<动>有
<例句：其云益乎。>
3、<代>如此；这样
<例句：士大夫之族，曰师曰弟子云者，则群聚而笑之。>
4、<助>用于句首、句中、句末，无意义
<例句：云何吁矣>
<例句：日云莫矣。>
<例句：盖大苏泛赤壁云。>
5、<名>话
<例句：勿复有云。>
6、<名>云彩
<例句：云无心以出岫。>
7、<形>盛多的样子
<例句：天下云集响应。>
",<动>说,1,0
110,《诗》云：“邦畿千里，维【民】所止,民,"1、<名>古指奴隶，泛指庶民百姓
<例句：古者有四民：有士民，有商民，有农民，有工民。>
2、<名>人
<例句：上古之世，……民食果蓏蜯蛤，腥臊恶臭而伤腹胃，民多疾病。>
",<名>古指奴隶，泛指庶民百姓,1,0
111,《诗》云：“邦畿千里，维民【所】止,所,"1、经常放在动词前，同动词结合，组成""所""字结构。""所""字结构是名词性短语，表示""所……的人""、""所……的事物""、""所……的情况""等。
<例句：于众人广坐之中，不宜有所过，今公子故过之。>
<例句：故余虽愚，卒获有所闻。>
<例句：余在患难中，间以诗记所遭。>
2、""所""和动词结合，后面再有名词性结构，则所字结构起定语的作用。
<例句：夜则以兵围所寓舍。>
<例句：臣所过屠者朱亥，此子贤者，世莫能知，故隐屠闻耳。>
3、在有些句子中，""为""和""所""呼应，组成""为……所……""的格式，表示被动。
<例句：贾家庄几为巡徼所陵迫死。>
<例句：嬴闻如姬父为人所杀。>
4、表示原因的。
<例句：亲贤臣，远小人，此先汉所以兴隆也；亲小人，远贤臣，此后汉所以倾颓也。>
<例句：吾所以为此者，以先国家之急而后私仇也。>
<例句：臣所以去亲戚而事君者，徒慕君之高义也。>
<例句：所以遣将守关者，备他盗之出入与非常也。>
5、表示手段或凭借的。
<例句：吾所以待侯生者备矣，……>
<例句：师者，所以传道受业解惑也。>
6、【所谓】所说的。
<例句：此所谓战胜于朝廷。>
<例句：非吾所谓传其道解其惑者也。>
7、到处。
<例句：石之铿然有声音者，所在皆是也。>
8、所在之处，处所。
<例句：原来有这等一个所在，且回衙去>
<例句：急趋之，折过墙隅，迷其所在。>
","经常放在动词前，同动词结合，组成""所""字结构。""所""字结构是名词性短语，表示""所……的人""、""所……的事物""、""所……的情况""等。[经常放在动词前，同动词结合，组成""所""字结构。""所""字结构是名词性短语，表示""所……的人""、""所……的事物""、""所……的情况""等。]",0,1
112,”《【诗】》云：“缗蛮黄鸟，止于丘隅,诗,"1、<名>一种文学体裁；诗歌
<例句：时人伤之，为诗云尔。>
2、<名>指《诗经》
<例句：诗云：‘他人有心，予忖度之。’>
",<名>指《诗经》,1,0
113,”《诗》【云】：“缗蛮黄鸟，止于丘隅,云,"1、<动>说
<例句：古人云：‘死生亦大矣。’>
2、<动>有
<例句：其云益乎。>
3、<代>如此；这样
<例句：士大夫之族，曰师曰弟子云者，则群聚而笑之。>
4、<助>用于句首、句中、句末，无意义
<例句：云何吁矣>
<例句：日云莫矣。>
<例句：盖大苏泛赤壁云。>
5、<名>话
<例句：勿复有云。>
6、<名>云彩
<例句：云无心以出岫。>
7、<形>盛多的样子
<例句：天下云集响应。>
",<动>说,1,0
114,”【子】曰：“于止，知其所止，可以人而不如鸟乎？”《诗》云：“穆穆文王，于缉熙敬止！”为人君，止于仁；为人臣，止于敬；为人子，止于孝；为人父，止于慈；与国人交，止于信,子,"1、<名>婴儿
<例句：干、越。夷貉之子，生而同声，长而异俗。>
2、<名>孩子
<例句：率妻子邑人来此绝境。>
3、<名>儿子或女儿
<例句：而长子迈将赴饶之德兴尉。>
4、<名>对人的尊称
<例句：您>
<例句：子何恃而往？>
5、<名>泛指人
<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>
6、<名>特称孔子
<例句：子曰：‘岁寒，然后知松柏之后凋也。’>
7、<名>地支的第一位
<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>
8、通“仔”
<例句：仔细>
<例句：详缓看字，子细分明读之。>
9、<名>婴儿
<例句：干、越。夷貉之子，生而同声，长而异俗。>
10、<名>孩子
<例句：率妻子邑人来此绝境。>
11、<名>儿子或女儿
<例句：而长子迈将赴饶之德兴尉。>
12、<名>对人的尊称
<例句：您>
<例句：子何恃而往？>
13、<名>泛指人
<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>
14、<名>特称孔子
<例句：子曰：‘岁寒，然后知松柏之后凋也。’>
15、<名>地支的第一位
<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>
16、通“仔”
<例句：仔细>
<例句：详缓看字，子细分明读之。>
17、<名>婴儿
<例句：干、越。夷貉之子，生而同声，长而异俗。>
18、<名>孩子
<例句：率妻子邑人来此绝境。>
19、<名>儿子或女儿
<例句：而长子迈将赴饶之德兴尉。>
20、<名>对人的尊称
<例句：您>
<例句：子何恃而往？>
21、<名>泛指人
<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>
22、<名>特称孔子
<例句：子曰：‘岁寒，然后知松柏之后凋也。’>
23、<名>地支的第一位
<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>
24、通“仔”
<例句：仔细>
<例句：详缓看字，子细分明读之。>
",<名>特称孔子,1,0
115,”子曰：“【于】止，知其所止，可以人而不如鸟乎？”《诗》云：“穆穆文王，于缉熙敬止！”为人君，止于仁；为人臣，止于敬；为人子，止于孝；为人父，止于慈；与国人交，止于信,于,"1、放在形容词之后，表示比较，一般可译为""比""。有时可译为""胜过""。
<例句：良曰：""长于臣""。>
<例句：冰，水为之，而寒于水。>
2、有时则只是表示对象的性质和状态，可不译。
<例句：非常之谋难于猝发……>
3、""受""等字和它相应。
<例句：或脱身以逃，不能容于远近……>
<例句：臣诚恐见欺于王而负赵……>
<例句：吾不能举全吴之地，十万之众，受制于人……>
4、放在句子开头，表前后的承接或因果关系，与承接连词或因果连词相同。现代汉语也这样用。
<例句：于是秦王不悦，为击缻。>
<例句：吴之民方痛心焉，于是乘其厉声以呵，则噪而相逐。>
",放在句子开头，表前后的承接或因果关系，与承接连词或因果连词相同。现代汉语也这样用。[放在句子开头，表前后的承接或因果关系，与承接连词或因果连词相同。现代汉语也这样用。],0,1
