,sentences,words,meanings,labels
132,子曰：“鬼神之为德，其盛矣乎？！视之而弗见，听之而弗闻，体物而不可遗，使天下之人齐明【盛】服，以承祭祀,盛,"1、<形>兴盛；旺盛
<例句：盛衰之理，虽曰天命，岂非人事哉。>
2、<形>多；大量；茂盛
<例句：山寺桃花始盛开。>
3、<形>大；盛大
<例句：胜地不常，盛筵难再。>
4、<形>充足；充沛
<例句：气盛则言之短长与声之高下者皆宜。>
5、<形>好；美好
<例句：及至后世，用迂儒之议，以去兵为王者之盛节。>
6、<副>极；非常
<例句：已而简子至，求狼弗得，盛怒。>
7、<名>放在器皿里用来祭祀的谷物
<例句：奉盛以告。>
8、<动>把东西放进器物中
<例句：请其矢，盛以锦囊，负而前驱。>
",0
133,洋【洋】乎如在其上，如在其左右,洋,"1、<形>多
<例句：德洋恩普，物靡不得其所。>
2、<名>海洋
<例句：黑水洋，即北海洋也。>
",0
134,《诗》曰：‘神之格【思】，不可度思！矧可射思！’夫微之显，诚之不可掩如此夫,思,"1、<动>思考；想
<例句：学而不思则罔。>
2、<动>希望；盼望
<例句：智能之士，思得明君。>
3、<动>想念；思念
<例句：已行，非弗思也，祭祀必祝之。>
4、<名>思绪；心情
<例句：晻晻日欲暝，愁思出门啼。>
",0
135,《诗》曰：‘神之格思，不可度【思】！矧可射思！’夫微之显，诚之不可掩如此夫,思,"1、<动>思考；想
<例句：学而不思则罔。>
2、<动>希望；盼望
<例句：智能之士，思得明君。>
3、<动>想念；思念
<例句：已行，非弗思也，祭祀必祝之。>
4、<名>思绪；心情
<例句：晻晻日欲暝，愁思出门啼。>
",0
136,《诗》曰：‘神之格思，不可度思！矧可【射】思！’夫微之显，诚之不可掩如此夫,射,"1、<动>射箭；用弓射击
<例句：亲射虎，看孙郎。>
2、<动>喷射
<例句：含沙射流影，吹蛊痛行晖。>
3、<动>照射
<例句：光由隙中下射，宛如钩月。>
4、<动>猜度；猜谜
<例句：宴酣之乐，非丝非竹，射者中，弈者胜。>
5、<动>追求；谋求
<例句：自负高才，昧于荣利，乘时射势，颇累清淡。>
6、中国古代音乐十二律之一
7、中国春秋时景王所铸钟名
8、<动>射箭；用弓射击
<例句：亲射虎，看孙郎。>
9、<动>喷射
<例句：含沙射流影，吹蛊痛行晖。>
10、<动>照射
<例句：光由隙中下射，宛如钩月。>
11、<动>猜度；猜谜
<例句：宴酣之乐，非丝非竹，射者中，弈者胜。>
12、<动>追求；谋求
<例句：自负高才，昧于荣利，乘时射势，颇累清淡。>
13、中国古代音乐十二律之一
14、中国春秋时景王所铸钟名
15、<动>射箭；用弓射击
<例句：亲射虎，看孙郎。>
16、<动>喷射
<例句：含沙射流影，吹蛊痛行晖。>
17、<动>照射
<例句：光由隙中下射，宛如钩月。>
18、<动>猜度；猜谜
<例句：宴酣之乐，非丝非竹，射者中，弈者胜。>
19、<动>追求；谋求
<例句：自负高才，昧于荣利，乘时射势，颇累清淡。>
20、中国古代音乐十二律之一
21、中国春秋时景王所铸钟名
",0
137,《诗》曰：‘神之格思，不可度思！矧可射【思】！’夫微之显，诚之不可掩如此夫,思,"1、<动>思考；想
<例句：学而不思则罔。>
2、<动>希望；盼望
<例句：智能之士，思得明君。>
3、<动>想念；思念
<例句：已行，非弗思也，祭祀必祝之。>
4、<名>思绪；心情
<例句：晻晻日欲暝，愁思出门啼。>
",0
138,《诗》曰：‘神之格思，不可度思！矧可射思！’夫微【之】显，诚之不可掩如此夫,之,"1、指示代词，表近指。可译为""这""，通常作复指性定语。
<例句：均之二策。>
2、之间，可译为""的""，有的可不译。
<例句：若能以吴、越之众与中国抗衡。>
3、和补语之间，可译为""得""。
<例句：古人之观于天地、山川、草木、虫鱼、鸟兽，往往有得，以其求思之深而无不在也。>
4、 结构助词。当主谓短语在句中作主语、宾语或一个分句时，""之""用在主语和谓语之间，起取消句子独立性的作用，可不译。译时可省去。
<例句：师道之不传也久矣！欲人之无惑也难矣！>
<例句：悍吏之来吾乡，叫嚣乎东西。>
<例句：孤之有孔明，犹鱼之有水也。>
5、音节助词，用在形容词、副词或某些动词的末尾，或用在三个字之间，使之凑成四个字，只起调整音节的作用，无义，译时应省去。
<例句：顷之，烟炎张天。>
<例句：毛先生以三寸之舌，强于百万之师。>
<例句：久之，目似瞑，意暇甚>
",0
139,《诗》曰：‘神之格思，不可度思！矧可射思！’夫微之显，诚之不可掩如此【夫】,夫,"1、<名>成年男子
<例句：遂率子孙荷担者三夫。>
<例句：一夫不耕，或受之饥。>
2、<名>大丈夫
<例句：闻敌强而退，非夫也。>
3、<名>指服劳役或从事某种体力劳动的人
<例句：农夫心内如汤煮，公子王孙把扇摇。>
<例句：宫人早起笑相呼，不识阶前扫地夫。>
4、<名>女子的配偶；丈夫
<例句：罗敷自有夫。>
5、<代>⒈这；那
<例句：乐夫天命复奚疑？>
<例句：使夫往而学焉。>
6、<助>⒈用在句首，引起议论
<例句：夫晋何厌之有？>
<例句：食夫稻，衣夫锦，放女安乎？>
<例句：啊>
<例句：吧>
<例句：后之视今，亦犹今之视昔，悲夫！>
7、<名>成年男子
<例句：遂率子孙荷担者三夫。>
<例句：一夫不耕，或受之饥。>
8、<名>大丈夫
<例句：闻敌强而退，非夫也。>
9、<名>指服劳役或从事某种体力劳动的人
<例句：农夫心内如汤煮，公子王孙把扇摇。>
<例句：宫人早起笑相呼，不识阶前扫地夫。>
10、<名>女子的配偶；丈夫
<例句：罗敷自有夫。>
11、<代>⒈这；那
<例句：乐夫天命复奚疑？>
<例句：使夫往而学焉。>
12、<助>⒈用在句首，引起议论
<例句：夫晋何厌之有？>
<例句：食夫稻，衣夫锦，放女安乎？>
<例句：啊>
<例句：吧>
<例句：后之视今，亦犹今之视昔，悲夫！>
",0
140,子曰：“舜其大孝也与！德为圣人，尊为【天】子，富有四海之内,天,"1、<名>天空
<例句：是日也，天朗气清，惠风和畅。>
<例句：其容清明，天高日晶。>
<例句：天似穹庐，笼盖四野。>
2、<名>天气；气候
<例句：可怜身上衣正单，心忧炭贱愿天寒。>
3、<名>自然；本性
<例句：依乎天理，批大郤，导大窾。>
4、<名>古代人们想像中万事万物的主宰者
<例句：秦违蹇叔而以贪勤民，天奉我也。>
<例句：隘而不列，天赞我也。>
<例句：此天亡我也，非战之罪也。>
5、<名>人们赖以生存的人物
<例句：王者以民人为天，而民人以食为天。>
",0
141,【宗】庙飨之，子孙保之,宗,"1、<名>祖宗；宗庙
<例句：受命于神宗。>
2、<名>祖宗；祖先
<例句：若不获命，而使嗣宗职。>
3、<名>宗族
<例句：其宗灭于绛。>
4、<动>祭祀
<例句：宗庙会同，非诸侯而何？>
5、<动>遵奉；尊崇
<例句：孔子布衣，传十余世，学者宗之。>
6、<动>归往
<例句：江汉朝宗于海。>
7、<名>本源
<例句：将反于宗。>
",1 0
142,宗【庙】飨之，子孙保之,庙,"1、<名>宗庙；供奉和祭祀祖先的处所
<例句：宗庙之事，如会同，端章甫，愿为小相焉。>
<例句：一夫作乱而七庙隳。>
",1 0
143,故栽者【培】之，倾者覆之,培,"1、<动>培土
<例句：坟墓不培。>
<例句：专以培植奖励后进为己责任。>
2、<名>通“阫”，屋的后墙
<例句：凿培而遁之。>
<例句：培塿>
",0
144,《诗》曰：‘嘉乐君子，【宪】宪令德,宪,"1、<名>法令；法律
<例句：怀王使屈原造为宪令。>
2、<动>效法
<例句：王之元舅，文武是宪。>
",0
145,《诗》曰：‘嘉乐君子，宪【宪】令德,宪,"1、<名>法令；法律
<例句：怀王使屈原造为宪令。>
2、<动>效法
<例句：王之元舅，文武是宪。>
",0
146,宜民宜人，受禄【于】天，保佑命之，自天申之,于,"1、放在形容词之后，表示比较，一般可译为""比""。有时可译为""胜过""。
<例句：良曰：""长于臣""。>
<例句：冰，水为之，而寒于水。>
2、有时则只是表示对象的性质和状态，可不译。
<例句：非常之谋难于猝发……>
3、""受""等字和它相应。
<例句：或脱身以逃，不能容于远近……>
<例句：臣诚恐见欺于王而负赵……>
<例句：吾不能举全吴之地，十万之众，受制于人……>
4、放在句子开头，表前后的承接或因果关系，与承接连词或因果连词相同。现代汉语也这样用。
<例句：于是秦王不悦，为击缻。>
<例句：吴之民方痛心焉，于是乘其厉声以呵，则噪而相逐。>
",0
147,宜民宜人，受禄于天，【保】佑命之，自天申之,保,"1、<动>抚养
<例句：虽慈母不能保其子君安能以有其民哉。>
2、<动>保卫;保守
<例句：若跨有荆、益保其岩阻。>
<例句：倘魏兵骤至四面围定将何策保之。>
3、:<动>保存;保全
<例句：升死其印为予群从所得至今保藏。>
4、<动>担保;保证
<例句：保为将军破之。>
5、<名>仆役;佣工
<例句：(布)穷困赁佣于齐为酒人保。>
6、<量>旧时户籍编制单位
7、<名>通“褓”
<例句：昔成王幼小越在襁保。>
",0
148,宜民宜人，受禄于天，保佑命之，自天【申】之,申,"1、<动>通“伸”
<例句：主上屈法申恩，吞舟是漏。>
2、<动>申述；说明
<例句：主疑重所取，重不自申说。>
3、<动>重申；重复
<例句：谨庠序之教，申之以孝悌之义。>
4、<名>地支的第九位
",0
149,子曰：“无忧者，其惟【文】王乎！以王季为父，以武王为子，父作之，子述之,文,"1、<名>线条交错的图形；花纹
<例句：纹>
<例句：荆有长松文梓楩楠豫章。>
2、<形>华美；有文彩的
<例句：黄金千斤，文车二驷，服剑一。>
3、<名>文章
<例句：醉能同其乐，醒能述以文者，太守也。>
4、<名>文字
<例句：独其文犹可识。>
5、<名>非军事的，与“武”相对
<例句：文武并用，垂拱而治。>
6、<动>在身上刺花纹，叫“文身”
<例句：越人断发文身。>
7、<名>文化；文教
<例句：文王既没，文不在兹乎？>
8、<量>用于旧时的铜钱，古称铜钱一枚为一文
<例句：在市铜价，八十一文得铜一斤，私造薄钱，斤馀二百。>
9、<动>修饰；掩盖
<例句：小人之过也必文。>
<例句：文过饰非>
10、<名>规定、仪式
<例句：仪者必又曰：省去繁文末节，则一岁可以再郊。>
<例句：繁文缛节>
11、<名>线条交错的图形；花纹
<例句：纹>
<例句：荆有长松文梓楩楠豫章。>
12、<形>华美；有文彩的
<例句：黄金千斤，文车二驷，服剑一。>
13、<名>文章
<例句：醉能同其乐，醒能述以文者，太守也。>
14、<名>文字
<例句：独其文犹可识。>
15、<名>非军事的，与“武”相对
<例句：文武并用，垂拱而治。>
16、<动>在身上刺花纹，叫“文身”
<例句：越人断发文身。>
17、<名>文化；文教
<例句：文王既没，文不在兹乎？>
18、<量>用于旧时的铜钱，古称铜钱一枚为一文
<例句：在市铜价，八十一文得铜一斤，私造薄钱，斤馀二百。>
19、<动>修饰；掩盖
<例句：小人之过也必文。>
<例句：文过饰非>
20、<名>规定、仪式
<例句：仪者必又曰：省去繁文末节，则一岁可以再郊。>
<例句：繁文缛节>
",0
150,子曰：“无忧者，其惟文王乎！以王【季】为父，以武王为子，父作之，子述之,季,"1、<形>年少的；年幼的
<例句：谁其尸之？有齐季女。>
2、<名>古以伯（孟）、仲、叔、季排行
<例句：楚左尹项伯者，项羽季父也。>
3、<名>泛指弟弟
<例句：群季俊秀，皆为惠连。>
4、<名>一个朝代或一个时代的末期
<例句：杌陧之象，视清季有加。>
5、<形>修饰春夏秋冬四季，指该季节的最后一个月
<例句：季冬讲武，习射御。>
6、<名>季节
",0
151,武王缵大王、王【季】、文王之绪，一戎衣而有天下,季,"1、<形>年少的；年幼的
<例句：谁其尸之？有齐季女。>
2、<名>古以伯（孟）、仲、叔、季排行
<例句：楚左尹项伯者，项羽季父也。>
3、<名>泛指弟弟
<例句：群季俊秀，皆为惠连。>
4、<名>一个朝代或一个时代的末期
<例句：杌陧之象，视清季有加。>
5、<形>修饰春夏秋冬四季，指该季节的最后一个月
<例句：季冬讲武，习射御。>
6、<名>季节
",0
152,武王缵大王、王季、【文】王之绪，一戎衣而有天下,文,"1、<名>线条交错的图形；花纹
<例句：纹>
<例句：荆有长松文梓楩楠豫章。>
2、<形>华美；有文彩的
<例句：黄金千斤，文车二驷，服剑一。>
3、<名>文章
<例句：醉能同其乐，醒能述以文者，太守也。>
4、<名>文字
<例句：独其文犹可识。>
5、<名>非军事的，与“武”相对
<例句：文武并用，垂拱而治。>
6、<动>在身上刺花纹，叫“文身”
<例句：越人断发文身。>
7、<名>文化；文教
<例句：文王既没，文不在兹乎？>
8、<量>用于旧时的铜钱，古称铜钱一枚为一文
<例句：在市铜价，八十一文得铜一斤，私造薄钱，斤馀二百。>
9、<动>修饰；掩盖
<例句：小人之过也必文。>
<例句：文过饰非>
10、<名>规定、仪式
<例句：仪者必又曰：省去繁文末节，则一岁可以再郊。>
<例句：繁文缛节>
11、<名>线条交错的图形；花纹
<例句：纹>
<例句：荆有长松文梓楩楠豫章。>
12、<形>华美；有文彩的
<例句：黄金千斤，文车二驷，服剑一。>
13、<名>文章
<例句：醉能同其乐，醒能述以文者，太守也。>
14、<名>文字
<例句：独其文犹可识。>
15、<名>非军事的，与“武”相对
<例句：文武并用，垂拱而治。>
16、<动>在身上刺花纹，叫“文身”
<例句：越人断发文身。>
17、<名>文化；文教
<例句：文王既没，文不在兹乎？>
18、<量>用于旧时的铜钱，古称铜钱一枚为一文
<例句：在市铜价，八十一文得铜一斤，私造薄钱，斤馀二百。>
19、<动>修饰；掩盖
<例句：小人之过也必文。>
<例句：文过饰非>
20、<名>规定、仪式
<例句：仪者必又曰：省去繁文末节，则一岁可以再郊。>
<例句：繁文缛节>
",0
153,【宗】庙飨之，子孙保之,宗,"1、<名>祖宗；宗庙
<例句：受命于神宗。>
2、<名>祖宗；祖先
<例句：若不获命，而使嗣宗职。>
3、<名>宗族
<例句：其宗灭于绛。>
4、<动>祭祀
<例句：宗庙会同，非诸侯而何？>
5、<动>遵奉；尊崇
<例句：孔子布衣，传十余世，学者宗之。>
6、<动>归往
<例句：江汉朝宗于海。>
7、<名>本源
<例句：将反于宗。>
",1 0
154,宗【庙】飨之，子孙保之,庙,"1、<名>宗庙；供奉和祭祀祖先的处所
<例句：宗庙之事，如会同，端章甫，愿为小相焉。>
<例句：一夫作乱而七庙隳。>
",1 0
155,武王末受命，周【公】成文、武之德，追王大王、王季，上祀先公以天子之礼,公,"1、<形>公家的；公共的
<例句：大道之行也，天下为公公。>
<例句：天下有公利而莫或兴之。有公害而或除之>
2、<形>公正；无私
<例句：邪曲之害公也。>
<例句：无患有词之不公。>
<例句：谦约节敛，廉公有威。>
3、<副>公然；公开
<例句：残贼公行，莫之或止。>
<例句：惟予之公书与张氏之吝书若不相类。>
4、<名>古代公、侯、伯、子、男五等爵位的第一等，后成为诸侯的代称
5、<名>对男子的尊称
<例句：我孰与城北徐公美？>
<例句：公等遇雨，皆已失期。>
<例句：都督阎公之雅望，棨戟遥临。>
6、<名>丈夫的父亲
<例句：便可白公姥，及时相遣归。>
",0
156,武王末受命，周公成【文】、武之德，追王大王、王季，上祀先公以天子之礼,文,"1、<名>线条交错的图形；花纹
<例句：纹>
<例句：荆有长松文梓楩楠豫章。>
2、<形>华美；有文彩的
<例句：黄金千斤，文车二驷，服剑一。>
3、<名>文章
<例句：醉能同其乐，醒能述以文者，太守也。>
4、<名>文字
<例句：独其文犹可识。>
5、<名>非军事的，与“武”相对
<例句：文武并用，垂拱而治。>
6、<动>在身上刺花纹，叫“文身”
<例句：越人断发文身。>
7、<名>文化；文教
<例句：文王既没，文不在兹乎？>
8、<量>用于旧时的铜钱，古称铜钱一枚为一文
<例句：在市铜价，八十一文得铜一斤，私造薄钱，斤馀二百。>
9、<动>修饰；掩盖
<例句：小人之过也必文。>
<例句：文过饰非>
10、<名>规定、仪式
<例句：仪者必又曰：省去繁文末节，则一岁可以再郊。>
<例句：繁文缛节>
11、<名>线条交错的图形；花纹
<例句：纹>
<例句：荆有长松文梓楩楠豫章。>
12、<形>华美；有文彩的
<例句：黄金千斤，文车二驷，服剑一。>
13、<名>文章
<例句：醉能同其乐，醒能述以文者，太守也。>
14、<名>文字
<例句：独其文犹可识。>
15、<名>非军事的，与“武”相对
<例句：文武并用，垂拱而治。>
16、<动>在身上刺花纹，叫“文身”
<例句：越人断发文身。>
17、<名>文化；文教
<例句：文王既没，文不在兹乎？>
18、<量>用于旧时的铜钱，古称铜钱一枚为一文
<例句：在市铜价，八十一文得铜一斤，私造薄钱，斤馀二百。>
19、<动>修饰；掩盖
<例句：小人之过也必文。>
<例句：文过饰非>
20、<名>规定、仪式
<例句：仪者必又曰：省去繁文末节，则一岁可以再郊。>
<例句：繁文缛节>
",0
157,武王末受命，周公成文、武之德，追王大王、王【季】，上祀先公以天子之礼,季,"1、<形>年少的；年幼的
<例句：谁其尸之？有齐季女。>
2、<名>古以伯（孟）、仲、叔、季排行
<例句：楚左尹项伯者，项羽季父也。>
3、<名>泛指弟弟
<例句：群季俊秀，皆为惠连。>
4、<名>一个朝代或一个时代的末期
<例句：杌陧之象，视清季有加。>
5、<形>修饰春夏秋冬四季，指该季节的最后一个月
<例句：季冬讲武，习射御。>
6、<名>季节
",0
158,斯礼也，达乎【诸】侯大夫，及士庶人,诸,"1、<形>众；各个
<例句：诸郡县苦秦吏者，皆刑其长吏。>
2、兼词，用于句中，相当于“之于”
<例句：或取诸怀抱，晤言一室之内。>
3、兼词，用于句末，相当于“之乎”
<例句：不识有诸？>
4、<代>相当于“之”
<例句：王如改诸，则心反予。>
",0
159,斯礼也，达乎诸【侯】大夫，及士庶人,侯,"1、<名>箭靶
<例句：终日射侯不出正亏。>
2、<名>古代公侯伯子男五等爵位的第二等,又为诸侯国国君的通称
<例句：出则接遇宾客应对诸侯。>
<例句：王侯将相宁有种乎?>
<例句：素善留侯张良。>
3、<副>同“何”
4、<名>箭靶
<例句：终日射侯不出正亏。>
5、<名>古代公侯伯子男五等爵位的第二等,又为诸侯国国君的通称
<例句：出则接遇宾客应对诸侯。>
<例句：王侯将相宁有种乎?>
<例句：素善留侯张良。>
6、<副>同“何”
",0
160,斯礼也，达乎诸侯大【夫】，及士庶人,夫,"1、<名>成年男子
<例句：遂率子孙荷担者三夫。>
<例句：一夫不耕，或受之饥。>
2、<名>大丈夫
<例句：闻敌强而退，非夫也。>
3、<名>指服劳役或从事某种体力劳动的人
<例句：农夫心内如汤煮，公子王孙把扇摇。>
<例句：宫人早起笑相呼，不识阶前扫地夫。>
4、<名>女子的配偶；丈夫
<例句：罗敷自有夫。>
5、<代>⒈这；那
<例句：乐夫天命复奚疑？>
<例句：使夫往而学焉。>
6、<助>⒈用在句首，引起议论
<例句：夫晋何厌之有？>
<例句：食夫稻，衣夫锦，放女安乎？>
<例句：啊>
<例句：吧>
<例句：后之视今，亦犹今之视昔，悲夫！>
7、<名>成年男子
<例句：遂率子孙荷担者三夫。>
<例句：一夫不耕，或受之饥。>
8、<名>大丈夫
<例句：闻敌强而退，非夫也。>
9、<名>指服劳役或从事某种体力劳动的人
<例句：农夫心内如汤煮，公子王孙把扇摇。>
<例句：宫人早起笑相呼，不识阶前扫地夫。>
10、<名>女子的配偶；丈夫
<例句：罗敷自有夫。>
11、<代>⒈这；那
<例句：乐夫天命复奚疑？>
<例句：使夫往而学焉。>
12、<助>⒈用在句首，引起议论
<例句：夫晋何厌之有？>
<例句：食夫稻，衣夫锦，放女安乎？>
<例句：啊>
<例句：吧>
<例句：后之视今，亦犹今之视昔，悲夫！>
",0
161,父为大【夫】，子为士，葬以大夫，祭以士,夫,"1、<名>成年男子
<例句：遂率子孙荷担者三夫。>
<例句：一夫不耕，或受之饥。>
2、<名>大丈夫
<例句：闻敌强而退，非夫也。>
3、<名>指服劳役或从事某种体力劳动的人
<例句：农夫心内如汤煮，公子王孙把扇摇。>
<例句：宫人早起笑相呼，不识阶前扫地夫。>
4、<名>女子的配偶；丈夫
<例句：罗敷自有夫。>
5、<代>⒈这；那
<例句：乐夫天命复奚疑？>
<例句：使夫往而学焉。>
6、<助>⒈用在句首，引起议论
<例句：夫晋何厌之有？>
<例句：食夫稻，衣夫锦，放女安乎？>
<例句：啊>
<例句：吧>
<例句：后之视今，亦犹今之视昔，悲夫！>
7、<名>成年男子
<例句：遂率子孙荷担者三夫。>
<例句：一夫不耕，或受之饥。>
8、<名>大丈夫
<例句：闻敌强而退，非夫也。>
9、<名>指服劳役或从事某种体力劳动的人
<例句：农夫心内如汤煮，公子王孙把扇摇。>
<例句：宫人早起笑相呼，不识阶前扫地夫。>
10、<名>女子的配偶；丈夫
<例句：罗敷自有夫。>
11、<代>⒈这；那
<例句：乐夫天命复奚疑？>
<例句：使夫往而学焉。>
12、<助>⒈用在句首，引起议论
<例句：夫晋何厌之有？>
<例句：食夫稻，衣夫锦，放女安乎？>
<例句：啊>
<例句：吧>
<例句：后之视今，亦犹今之视昔，悲夫！>
",0
162,父为大夫，子为士，葬以大【夫】，祭以士,夫,"1、<名>成年男子
<例句：遂率子孙荷担者三夫。>
<例句：一夫不耕，或受之饥。>
2、<名>大丈夫
<例句：闻敌强而退，非夫也。>
3、<名>指服劳役或从事某种体力劳动的人
<例句：农夫心内如汤煮，公子王孙把扇摇。>
<例句：宫人早起笑相呼，不识阶前扫地夫。>
4、<名>女子的配偶；丈夫
<例句：罗敷自有夫。>
5、<代>⒈这；那
<例句：乐夫天命复奚疑？>
<例句：使夫往而学焉。>
6、<助>⒈用在句首，引起议论
<例句：夫晋何厌之有？>
<例句：食夫稻，衣夫锦，放女安乎？>
<例句：啊>
<例句：吧>
<例句：后之视今，亦犹今之视昔，悲夫！>
7、<名>成年男子
<例句：遂率子孙荷担者三夫。>
<例句：一夫不耕，或受之饥。>
8、<名>大丈夫
<例句：闻敌强而退，非夫也。>
9、<名>指服劳役或从事某种体力劳动的人
<例句：农夫心内如汤煮，公子王孙把扇摇。>
<例句：宫人早起笑相呼，不识阶前扫地夫。>
10、<名>女子的配偶；丈夫
<例句：罗敷自有夫。>
11、<代>⒈这；那
<例句：乐夫天命复奚疑？>
<例句：使夫往而学焉。>
12、<助>⒈用在句首，引起议论
<例句：夫晋何厌之有？>
<例句：食夫稻，衣夫锦，放女安乎？>
<例句：啊>
<例句：吧>
<例句：后之视今，亦犹今之视昔，悲夫！>
",0
163,父为士，子为大【夫】，葬以士，祭以大夫,夫,"1、<名>成年男子
<例句：遂率子孙荷担者三夫。>
<例句：一夫不耕，或受之饥。>
2、<名>大丈夫
<例句：闻敌强而退，非夫也。>
3、<名>指服劳役或从事某种体力劳动的人
<例句：农夫心内如汤煮，公子王孙把扇摇。>
<例句：宫人早起笑相呼，不识阶前扫地夫。>
4、<名>女子的配偶；丈夫
<例句：罗敷自有夫。>
5、<代>⒈这；那
<例句：乐夫天命复奚疑？>
<例句：使夫往而学焉。>
6、<助>⒈用在句首，引起议论
<例句：夫晋何厌之有？>
<例句：食夫稻，衣夫锦，放女安乎？>
<例句：啊>
<例句：吧>
<例句：后之视今，亦犹今之视昔，悲夫！>
7、<名>成年男子
<例句：遂率子孙荷担者三夫。>
<例句：一夫不耕，或受之饥。>
8、<名>大丈夫
<例句：闻敌强而退，非夫也。>
9、<名>指服劳役或从事某种体力劳动的人
<例句：农夫心内如汤煮，公子王孙把扇摇。>
<例句：宫人早起笑相呼，不识阶前扫地夫。>
10、<名>女子的配偶；丈夫
<例句：罗敷自有夫。>
11、<代>⒈这；那
<例句：乐夫天命复奚疑？>
<例句：使夫往而学焉。>
12、<助>⒈用在句首，引起议论
<例句：夫晋何厌之有？>
<例句：食夫稻，衣夫锦，放女安乎？>
<例句：啊>
<例句：吧>
<例句：后之视今，亦犹今之视昔，悲夫！>
",0
164,父为士，子为大夫，葬以士，祭以大【夫】,夫,"1、<名>成年男子
<例句：遂率子孙荷担者三夫。>
<例句：一夫不耕，或受之饥。>
2、<名>大丈夫
<例句：闻敌强而退，非夫也。>
3、<名>指服劳役或从事某种体力劳动的人
<例句：农夫心内如汤煮，公子王孙把扇摇。>
<例句：宫人早起笑相呼，不识阶前扫地夫。>
4、<名>女子的配偶；丈夫
<例句：罗敷自有夫。>
5、<代>⒈这；那
<例句：乐夫天命复奚疑？>
<例句：使夫往而学焉。>
6、<助>⒈用在句首，引起议论
<例句：夫晋何厌之有？>
<例句：食夫稻，衣夫锦，放女安乎？>
<例句：啊>
<例句：吧>
<例句：后之视今，亦犹今之视昔，悲夫！>
7、<名>成年男子
<例句：遂率子孙荷担者三夫。>
<例句：一夫不耕，或受之饥。>
8、<名>大丈夫
<例句：闻敌强而退，非夫也。>
9、<名>指服劳役或从事某种体力劳动的人
<例句：农夫心内如汤煮，公子王孙把扇摇。>
<例句：宫人早起笑相呼，不识阶前扫地夫。>
10、<名>女子的配偶；丈夫
<例句：罗敷自有夫。>
11、<代>⒈这；那
<例句：乐夫天命复奚疑？>
<例句：使夫往而学焉。>
12、<助>⒈用在句首，引起议论
<例句：夫晋何厌之有？>
<例句：食夫稻，衣夫锦，放女安乎？>
<例句：啊>
<例句：吧>
<例句：后之视今，亦犹今之视昔，悲夫！>
",0
165,期之【丧】，达乎大夫,丧,"1、<动>丧失；失去
<例句：人皆有之，贤者能勿丧耳。>
2、<动>丧亡；灭亡
<例句：五国既丧，齐亦不免矣。>
3、<动>葬；安葬
<例句：是使民养生丧死无憾也。>
<例句：秦不哀吾丧而伐吾同姓。>
4、<动>丧失；失去
<例句：人皆有之，贤者能勿丧耳。>
5、<动>丧亡；灭亡
<例句：五国既丧，齐亦不免矣。>
6、<动>葬；安葬
<例句：是使民养生丧死无憾也。>
<例句：秦不哀吾丧而伐吾同姓。>
7、<动>丧失；失去
<例句：人皆有之，贤者能勿丧耳。>
8、<动>丧亡；灭亡
<例句：五国既丧，齐亦不免矣。>
9、<动>葬；安葬
<例句：是使民养生丧死无憾也。>
<例句：秦不哀吾丧而伐吾同姓。>
",0
166,期之丧，达乎大【夫】,夫,"1、<名>成年男子
<例句：遂率子孙荷担者三夫。>
<例句：一夫不耕，或受之饥。>
2、<名>大丈夫
<例句：闻敌强而退，非夫也。>
3、<名>指服劳役或从事某种体力劳动的人
<例句：农夫心内如汤煮，公子王孙把扇摇。>
<例句：宫人早起笑相呼，不识阶前扫地夫。>
4、<名>女子的配偶；丈夫
<例句：罗敷自有夫。>
5、<代>⒈这；那
<例句：乐夫天命复奚疑？>
<例句：使夫往而学焉。>
6、<助>⒈用在句首，引起议论
<例句：夫晋何厌之有？>
<例句：食夫稻，衣夫锦，放女安乎？>
<例句：啊>
<例句：吧>
<例句：后之视今，亦犹今之视昔，悲夫！>
7、<名>成年男子
<例句：遂率子孙荷担者三夫。>
<例句：一夫不耕，或受之饥。>
8、<名>大丈夫
<例句：闻敌强而退，非夫也。>
9、<名>指服劳役或从事某种体力劳动的人
<例句：农夫心内如汤煮，公子王孙把扇摇。>
<例句：宫人早起笑相呼，不识阶前扫地夫。>
10、<名>女子的配偶；丈夫
<例句：罗敷自有夫。>
11、<代>⒈这；那
<例句：乐夫天命复奚疑？>
<例句：使夫往而学焉。>
12、<助>⒈用在句首，引起议论
<例句：夫晋何厌之有？>
<例句：食夫稻，衣夫锦，放女安乎？>
<例句：啊>
<例句：吧>
<例句：后之视今，亦犹今之视昔，悲夫！>
",0
