,sentences,words,meanings,labels
72,《诗》云：“於戏，前王【不】忘！”君子贤其贤而亲其亲，小人乐其乐而利其利，此以没世不忘也,不,"1、<副>不,表一般否定
2、<副>没有,表存在的否定
<例句：今日出而从日中不决何也?>
3、<副>不是,表否定判断
<例句：又何往而不金玉其外败絮其中也哉。>
4、通“否”
5、<助>在句末表询问
<例句：秦王以十五城请易寡人之璧可予不?>
6、<副>用在句中表否定
<例句：不者若属皆为所虏。>
<例句：或师焉或不焉。>
",0
73,《诗》云：“於戏，前王不忘！”君子【贤】其贤而亲其亲，小人乐其乐而利其利，此以没世不忘也,贤,"1、<形>有道德的；有才能的
<例句：亲贤臣，远小人。>
2、<名>有德有才的人
<例句：宽厚而爱人，尊贤而重士。>
3、<形>善；好
<例句：非不贤也，为其不可得而法。>
4、<形>胜于；甚于
<例句：老臣窃以为媪之爱燕后贤于长安君。>
",1 0
74,《诗》云：“於戏，前王不忘！”君子贤其贤而亲其【亲】，小人乐其乐而利其利，此以没世不忘也,亲,"1、<名>父母
<例句：冯公有亲乎?>
2、<形>亲的；血统最接近的
<例句：我有亲父兄，性行暴如雷。>
3、<名>亲人；亲族
<例句：外无期功强近之亲。>
4、<动>亲近；接近
<例句：今行而无信，则秦未可亲也。>
<例句：疏而不亲，还是不说罢。>
5、<副>亲自
<例句：为报倾城随太守，亲射虎，看孙郎。>
6、<名>父母
<例句：冯公有亲乎?>
7、<形>亲的；血统最接近的
<例句：我有亲父兄，性行暴如雷。>
8、<名>亲人；亲族
<例句：外无期功强近之亲。>
9、<动>亲近；接近
<例句：今行而无信，则秦未可亲也。>
<例句：疏而不亲，还是不说罢。>
10、<副>亲自
<例句：为报倾城随太守，亲射虎，看孙郎。>
11、<名>父母
<例句：冯公有亲乎?>
12、<形>亲的；血统最接近的
<例句：我有亲父兄，性行暴如雷。>
13、<名>亲人；亲族
<例句：外无期功强近之亲。>
14、<动>亲近；接近
<例句：今行而无信，则秦未可亲也。>
<例句：疏而不亲，还是不说罢。>
15、<副>亲自
<例句：为报倾城随太守，亲射虎，看孙郎。>
",4 0
75,《诗》云：“於戏，前王不忘！”君子贤其贤而亲其亲，小人乐其【乐】而利其利，此以没世不忘也,乐,"1、<名>音乐
<例句：今夜闻君琵琶语，如听仙乐耳暂明。>
2、<名>乐器
<例句：掌六律六同之和……以为乐器。>
3、<动>欣赏音乐
<例句：独乐乐，与人乐乐，孰乐？>
4、<形>快乐
<例句：所以游目骋怀，足以极视听之娱，信可乐也。>
5、<名>乐趣
<例句：此乐何极。>
6、<动>喜欢；乐意
<例句：人未有不乐为治平之民者也。>
7、<名>音乐
<例句：今夜闻君琵琶语，如听仙乐耳暂明。>
8、<名>乐器
<例句：掌六律六同之和……以为乐器。>
9、<动>欣赏音乐
<例句：独乐乐，与人乐乐，孰乐？>
10、<形>快乐
<例句：所以游目骋怀，足以极视听之娱，信可乐也。>
11、<名>乐趣
<例句：此乐何极。>
12、<动>喜欢；乐意
<例句：人未有不乐为治平之民者也。>
",4 0
76,《诗》云：“於戏，前王不忘！”君子贤其贤而亲其亲，小人乐其乐而利其利，此以【没】世不忘也,没,"1、<动>沉入水中
<例句：其家逼之，乃没水而死。>
2、<动>淹没
<例句：水来漂没，溺其人民。>
3、<动>掩没；掩埋
<例句：生女犹得嫁比邻，生男埋没随百草。>
4、<动>覆没；陷没
<例句：陵未没时，使有来报。>
5、<动>隐没；隐匿
<例句：日与北骑相出没于长淮间。>
6、<动>消失
<例句：良久，羽旄之影渐没，车马之音不闻。>
7、<动>没收
<例句：子本相侔，则没为奴婢。>
8、<动>通“殁”，死
<例句：始皇既没，余威震于殊俗。>
9、<动>沉入水中
<例句：其家逼之，乃没水而死。>
10、<动>淹没
<例句：水来漂没，溺其人民。>
11、<动>掩没；掩埋
<例句：生女犹得嫁比邻，生男埋没随百草。>
12、<动>覆没；陷没
<例句：陵未没时，使有来报。>
13、<动>隐没；隐匿
<例句：日与北骑相出没于长淮间。>
14、<动>消失
<例句：良久，羽旄之影渐没，车马之音不闻。>
15、<动>没收
<例句：子本相侔，则没为奴婢。>
16、<动>通“殁”，死
<例句：始皇既没，余威震于殊俗。>
",0
77,《【康】诰》曰：“克明德,康,"1、<形>康乐；安康；安乐
<例句：黎庶康宁。>
2、<形>宽广；广大
<例句：尧乃微服游于康衢。>
3、<形>健康
<例句：四体康且直。>
4、<形>空
<例句：翰弃周鼎，宝康瓠兮。>
",0
78,《康诰》曰：“克【明】德,明,"1、<形>明亮
<例句：至莫夜月明，独与迈乘小舟至绝壁下。>
2、<动>照亮
<例句：方是时余之力尚足以入，火尚足以明也。>
3、<形>明白；清楚
<例句：名实已明，而天下之理得矣。>
4、<动>证明；说明
<例句：亦以明死生之大，匹夫之有重于社稷也。>
5、<动>明确
<例句：明法度，定律令，皆以始皇起。>
6、<形>英明；高明；明智
<例句：臣虽下愚，知其不可，而况于明哲乎。>
7、<名>智慧
<例句：积善成德，而神明自得，圣心备焉。>
8、<名>视力
<例句：明足以察秋毫之末。>
9、<形>次；下一个（专指年、月、日）
<例句：明年，贫僧自南海还。>
10、<名>明朝
",0
79,”《大【甲】》曰：“顾諟天之明命,甲,"1、<名>植物种子的外壳
<例句：雷雨作而百果草木皆甲坼。>
2、<名>动物护身的外壳
<例句：肌肉消尽，唯甲存焉。>
3、<名>战甲，古代士兵穿的用皮革或金属制的护身服
<例句：何不按兵束甲，北面而受之。>
4、<名>甲士；披甲的士兵
<例句：今战士还者及关羽水军精甲万人。>
5、<名>指甲
<例句：暖手调金丝，蘸甲斟琼液。>
6、<名>天干的第一位
7、<形>第一流的；头等的
<例句：书生因甲第为相国。>
8、<动>居第一位
<例句：秦杨以田农而甲一州。>
",0
80,”《大甲》曰：“【顾】諟天之明命,顾,"1、<动>回头；回头看
<例句：不顾而唾>
<例句：荆轲顾笑武阳。>
2、<动>视；看
<例句：拔剑四顾心茫然。>
3、<动>看望；拜访
<例句：先帝不以臣卑鄙，猥自枉屈，三顾臣于草庐之中。>
4、<动>顾念；关心
<例句：三岁贯女，莫我肯顾。>
5、<动>回还；返回
<例句：使于齐，顾反，谏怀王曰。>
6、<副>只是；不过
<例句：吾每念，常痛于骨髓，顾计不知所出耳。>
7、<副>但；却；反而
<例句：顾吾念之，强秦之所不敢加兵于赵者。>
<例句：人之立志，顾不如蜀鄙之僧哉？>
",0
81,”《大甲》曰：“顾諟天之【明】命,明,"1、<形>明亮
<例句：至莫夜月明，独与迈乘小舟至绝壁下。>
2、<动>照亮
<例句：方是时余之力尚足以入，火尚足以明也。>
3、<形>明白；清楚
<例句：名实已明，而天下之理得矣。>
4、<动>证明；说明
<例句：亦以明死生之大，匹夫之有重于社稷也。>
5、<动>明确
<例句：明法度，定律令，皆以始皇起。>
6、<形>英明；高明；明智
<例句：臣虽下愚，知其不可，而况于明哲乎。>
7、<名>智慧
<例句：积善成德，而神明自得，圣心备焉。>
8、<名>视力
<例句：明足以察秋毫之末。>
9、<形>次；下一个（专指年、月、日）
<例句：明年，贫僧自南海还。>
10、<名>明朝
",0
82,”《大甲》曰：“顾諟天之明【命】,命,"1、<动>差使；命令
<例句：或命巾车，或棹孤舟。>
2、<名>命令
<例句：臣以供养无主，辞不赴命。>
3、<名>命运；天命
<例句：大命将泛，莫之振救。>
<例句：死生有命，富贵在天。>
4、<名>生命
<例句：母孙二人，更相为命。>
5、<动>命名
<例句：凡六百一十六言，命曰《琵琶行》。>
6、<动>任用
<例句：天子疏爵以命之。>
",0
83,”《帝典》曰：“克【明】峻德,明,"1、<形>明亮
<例句：至莫夜月明，独与迈乘小舟至绝壁下。>
2、<动>照亮
<例句：方是时余之力尚足以入，火尚足以明也。>
3、<形>明白；清楚
<例句：名实已明，而天下之理得矣。>
4、<动>证明；说明
<例句：亦以明死生之大，匹夫之有重于社稷也。>
5、<动>明确
<例句：明法度，定律令，皆以始皇起。>
6、<形>英明；高明；明智
<例句：臣虽下愚，知其不可，而况于明哲乎。>
7、<名>智慧
<例句：积善成德，而神明自得，圣心备焉。>
8、<名>视力
<例句：明足以察秋毫之末。>
9、<形>次；下一个（专指年、月、日）
<例句：明年，贫僧自南海还。>
10、<名>明朝
",0
84,”皆自【明】也,明,"1、<形>明亮
<例句：至莫夜月明，独与迈乘小舟至绝壁下。>
2、<动>照亮
<例句：方是时余之力尚足以入，火尚足以明也。>
3、<形>明白；清楚
<例句：名实已明，而天下之理得矣。>
4、<动>证明；说明
<例句：亦以明死生之大，匹夫之有重于社稷也。>
5、<动>明确
<例句：明法度，定律令，皆以始皇起。>
6、<形>英明；高明；明智
<例句：臣虽下愚，知其不可，而况于明哲乎。>
7、<名>智慧
<例句：积善成德，而神明自得，圣心备焉。>
8、<名>视力
<例句：明足以察秋毫之末。>
9、<形>次；下一个（专指年、月、日）
<例句：明年，贫僧自南海还。>
10、<名>明朝
",0
85,汤之《盘铭》曰：“苟日新，【日】日新，又日新,日,"1、<名>太阳
<例句：夸父与日逐走。>
2、<名>白昼；白天
<例句：此臣日夜切齿拊心也。>
3、<名>一昼夜；一天
<例句：尝一日千里，不忍杀之。>
4、<名>日子；时间
<例句：待到重阳日，还来就菊花。>
5、<名>往日；从前
<例句：日君乏使，使臣斯司马。>
6、<名>他日；以后的某一天
<例句：日以偕来，吾与若俱观之。>
",0
86,汤之《盘铭》曰：“苟日新，日【日】新，又日新,日,"1、<名>太阳
<例句：夸父与日逐走。>
2、<名>白昼；白天
<例句：此臣日夜切齿拊心也。>
3、<名>一昼夜；一天
<例句：尝一日千里，不忍杀之。>
4、<名>日子；时间
<例句：待到重阳日，还来就菊花。>
5、<名>往日；从前
<例句：日君乏使，使臣斯司马。>
6、<名>他日；以后的某一天
<例句：日以偕来，吾与若俱观之。>
",0
87,汤之《盘铭》曰：“苟日新，日日新，又【日】新,日,"1、<名>太阳
<例句：夸父与日逐走。>
2、<名>白昼；白天
<例句：此臣日夜切齿拊心也。>
3、<名>一昼夜；一天
<例句：尝一日千里，不忍杀之。>
4、<名>日子；时间
<例句：待到重阳日，还来就菊花。>
5、<名>往日；从前
<例句：日君乏使，使臣斯司马。>
6、<名>他日；以后的某一天
<例句：日以偕来，吾与若俱观之。>
",0
88,”《【康】诰》曰：“作新民,康,"1、<形>康乐；安康；安乐
<例句：黎庶康宁。>
2、<形>宽广；广大
<例句：尧乃微服游于康衢。>
3、<形>健康
<例句：四体康且直。>
4、<形>空
<例句：翰弃周鼎，宝康瓠兮。>
",0
89,”《康诰》曰：“【作】新民,作,"1、<动>起来；起身
<例句：舍瑟而作。>
2、<动>兴起；出现
<例句：有圣人作，构木为巢以避群害。>
3、<动>发动；发出；发生
<例句：一夫作难而七庙隳。>
<例句：泉水激石，泠泠作响。>
<例句：此疫作也。>
4、<动>演奏
<例句：如乐作焉。>
5、<动>振作；振奋
<例句：一鼓作气，再鼓而衰。>
6、<动>干；做
<例句：若有作奸犯科及为忠善者，宜付有司论其刑赏。>
7、<动>充任
<例句：家君作宰，路出名区。>
8、<动>制作；建造
<例句：遂乃研核阴阳，妙尽璇机之正，作浑天仪。>
9、<动>创作；写作
<例句：登高作赋，是所望于群公。>
10、<动>劳作；劳动
<例句：其中往来种作，男女衣着，悉如外人。>
11、<名>作品
<例句：中国画家自临摹旧作入手。>
12、<象>摹写老鼠活动的声音
<例句：微闻有鼠作作索索。>
13、<动>起来；起身
<例句：舍瑟而作。>
14、<动>兴起；出现
<例句：有圣人作，构木为巢以避群害。>
15、<动>发动；发出；发生
<例句：一夫作难而七庙隳。>
<例句：泉水激石，泠泠作响。>
<例句：此疫作也。>
16、<动>演奏
<例句：如乐作焉。>
17、<动>振作；振奋
<例句：一鼓作气，再鼓而衰。>
18、<动>干；做
<例句：若有作奸犯科及为忠善者，宜付有司论其刑赏。>
19、<动>充任
<例句：家君作宰，路出名区。>
20、<动>制作；建造
<例句：遂乃研核阴阳，妙尽璇机之正，作浑天仪。>
21、<动>创作；写作
<例句：登高作赋，是所望于群公。>
22、<动>劳作；劳动
<例句：其中往来种作，男女衣着，悉如外人。>
23、<名>作品
<例句：中国画家自临摹旧作入手。>
24、<象>摹写老鼠活动的声音
<例句：微闻有鼠作作索索。>
25、<动>起来；起身
<例句：舍瑟而作。>
26、<动>兴起；出现
<例句：有圣人作，构木为巢以避群害。>
27、<动>发动；发出；发生
<例句：一夫作难而七庙隳。>
<例句：泉水激石，泠泠作响。>
<例句：此疫作也。>
28、<动>演奏
<例句：如乐作焉。>
29、<动>振作；振奋
<例句：一鼓作气，再鼓而衰。>
30、<动>干；做
<例句：若有作奸犯科及为忠善者，宜付有司论其刑赏。>
31、<动>充任
<例句：家君作宰，路出名区。>
32、<动>制作；建造
<例句：遂乃研核阴阳，妙尽璇机之正，作浑天仪。>
33、<动>创作；写作
<例句：登高作赋，是所望于群公。>
34、<动>劳作；劳动
<例句：其中往来种作，男女衣着，悉如外人。>
35、<名>作品
<例句：中国画家自临摹旧作入手。>
36、<象>摹写老鼠活动的声音
<例句：微闻有鼠作作索索。>
",0
90,”《诗》曰：“【周】虽旧邦，其命维新,周,"1、<形>周密；细密
<例句：辅周则国必强，辅隙则国必弱。>
2、<形>周到；周全
<例句：古之君子，其责己也重以周。>
3、<动>合；密合
<例句：其牙机巧制，皆隐在尊中，复盖周密无际。>
4、<动>团结
<例句：君子周而不比，小人比而不周。>
5、<动>环绕
<例句：垣墙周庭，以当南日。>
6、<形>全；周遍
<例句：瓦缝参差，多于周身之帛缕。>
7、<名>朝代名
<例句：周>
8、<动>通“赒”
<例句：周人之急。>
",
91,”《诗》曰：“周虽旧邦，其命【维】新,维,"1、<名>系物的大绳子
<例句：共工……怒而触不周之山，天柱折，地维绝。>
2、<动>系；连结
<例句：絷之维之，以永今夕。>
3、<名>隅；角落
<例句：东北为报德之维也。>
4、<动>通“惟”，思考
<例句：维万世之安。>
5、<介>由于
<例句：维子之故，使我不能餐兮。>
6、<连>和；与；同
<例句：牧人乃梦，……旐维旟矣。>
7、<语气词>放在句首
<例句：维秦王兼有天下，立名为皇帝。>
",0
92,”是故君子无所【不】用其极,不,"1、<副>不,表一般否定
2、<副>没有,表存在的否定
<例句：今日出而从日中不决何也?>
3、<副>不是,表否定判断
<例句：又何往而不金玉其外败絮其中也哉。>
4、通“否”
5、<助>在句末表询问
<例句：秦王以十五城请易寡人之璧可予不?>
6、<副>用在句中表否定
<例句：不者若属皆为所虏。>
<例句：或师焉或不焉。>
",0
93,《诗》云：“邦畿千里，【维】民所止,维,"1、<名>系物的大绳子
<例句：共工……怒而触不周之山，天柱折，地维绝。>
2、<动>系；连结
<例句：絷之维之，以永今夕。>
3、<名>隅；角落
<例句：东北为报德之维也。>
4、<动>通“惟”，思考
<例句：维万世之安。>
5、<介>由于
<例句：维子之故，使我不能餐兮。>
6、<连>和；与；同
<例句：牧人乃梦，……旐维旟矣。>
7、<语气词>放在句首
<例句：维秦王兼有天下，立名为皇帝。>
",0
94,《诗》云：“邦畿千里，维民所【止】,止,"1、<名>脚
<例句：当斩左止者，笞五百。>
<例句：趾>
2、<动>停止
<例句：舟止，从其所契者入水求之。>
3、<动>住下
<例句：复从峡度栈以上，止文殊院。>
4、<动>留住
<例句：止子路宿，杀鸡为黍而食之。>
5、<动>阻止
<例句：河曲智叟笑而止之。>
6、<动>中止
<例句：臂如为山，未成一篑，止吾止也。>
7、<副>通“只”
<例句：技止此耳。>
<例句：若止印三二本，未为简易。>
8、<助>用于句未，表示感叹
<例句：既曰归止，曷又怀止。>
",0
95,”《诗》云：“【缗】蛮黄鸟，止于丘隅,缗,"1、<名>钓鱼的绳子
<例句：其钓维何？维丝伊缗。>
2、<名>穿铜钱的绳子
<例句：可益二十万缗。>
",0
96,”《诗》云：“缗【蛮】黄鸟，止于丘隅,蛮,"1、mán<名>我国古代对南部民族的称呼
<例句：南蛮>
<例句：思彼蛮方。>
<例句：北蛮>
",0
97,”《诗》云：“缗蛮黄鸟，止【于】丘隅,于,"1、放在形容词之后，表示比较，一般可译为""比""。有时可译为""胜过""。
<例句：良曰：""长于臣""。>
<例句：冰，水为之，而寒于水。>
2、有时则只是表示对象的性质和状态，可不译。
<例句：非常之谋难于猝发……>
3、""受""等字和它相应。
<例句：或脱身以逃，不能容于远近……>
<例句：臣诚恐见欺于王而负赵……>
<例句：吾不能举全吴之地，十万之众，受制于人……>
4、放在句子开头，表前后的承接或因果关系，与承接连词或因果连词相同。现代汉语也这样用。
<例句：于是秦王不悦，为击缻。>
<例句：吴之民方痛心焉，于是乘其厉声以呵，则噪而相逐。>
",0
98,”子曰：“于【止】，知其所止，可以人而不如鸟乎？”《诗》云：“穆穆文王，于缉熙敬止！”为人君，止于仁；为人臣，止于敬；为人子，止于孝；为人父，止于慈；与国人交，止于信,止,"1、<名>脚
<例句：当斩左止者，笞五百。>
<例句：趾>
2、<动>停止
<例句：舟止，从其所契者入水求之。>
3、<动>住下
<例句：复从峡度栈以上，止文殊院。>
4、<动>留住
<例句：止子路宿，杀鸡为黍而食之。>
5、<动>阻止
<例句：河曲智叟笑而止之。>
6、<动>中止
<例句：臂如为山，未成一篑，止吾止也。>
7、<副>通“只”
<例句：技止此耳。>
<例句：若止印三二本，未为简易。>
8、<助>用于句未，表示感叹
<例句：既曰归止，曷又怀止。>
",2 0
99,”子曰：“于止，知其所止，【可】以人而不如鸟乎？”《诗》云：“穆穆文王，于缉熙敬止！”为人君，止于仁；为人臣，止于敬；为人子，止于孝；为人父，止于慈；与国人交，止于信,可,"1、<动>可以；能够
<例句：师劳力竭，远主备之，无乃不可乎？>
2、<动>认为……可以；肯定
<例句：吾子好道而可吾文。>
3、<动>适合；适宜
<例句：芙蕖之可人，其事不一而足。>
4、<动>值得
<例句：其可怪也欤？>
<例句：风移影动，珊珊可爱。>
5、<动>痊愈
<例句：瘦得浑如削，百般医疗终难可。>
6、<副>大约；大概
<例句：舟首尾长约八分有奇，高可三黍许。>
7、<副>莫非；怕是
<例句：李小二入来问道：‘可要吃酒？’>
8、<副>难道；岂
<例句：可堪回首，佛狸祠下，一片神鸦社鼓。>
9、见“可汗”
10、<动>可以；能够
<例句：师劳力竭，远主备之，无乃不可乎？>
11、<动>认为……可以；肯定
<例句：吾子好道而可吾文。>
12、<动>适合；适宜
<例句：芙蕖之可人，其事不一而足。>
13、<动>值得
<例句：其可怪也欤？>
<例句：风移影动，珊珊可爱。>
14、<动>痊愈
<例句：瘦得浑如削，百般医疗终难可。>
15、<副>大约；大概
<例句：舟首尾长约八分有奇，高可三黍许。>
16、<副>莫非；怕是
<例句：李小二入来问道：‘可要吃酒？’>
17、<副>难道；岂
<例句：可堪回首，佛狸祠下，一片神鸦社鼓。>
18、见“可汗”
",0
100,”子曰：“于止，知其所止，可以人而【不】如鸟乎？”《诗》云：“穆穆文王，于缉熙敬止！”为人君，止于仁；为人臣，止于敬；为人子，止于孝；为人父，止于慈；与国人交，止于信,不,"1、<副>不,表一般否定
2、<副>没有,表存在的否定
<例句：今日出而从日中不决何也?>
3、<副>不是,表否定判断
<例句：又何往而不金玉其外败絮其中也哉。>
4、通“否”
5、<助>在句末表询问
<例句：秦王以十五城请易寡人之璧可予不?>
6、<副>用在句中表否定
<例句：不者若属皆为所虏。>
<例句：或师焉或不焉。>
",0
101,”子曰：“于止，知其所止，可以人而不如鸟乎？”《诗》云：“穆穆【文】王，于缉熙敬止！”为人君，止于仁；为人臣，止于敬；为人子，止于孝；为人父，止于慈；与国人交，止于信,文,"1、<名>线条交错的图形；花纹
<例句：纹>
<例句：荆有长松文梓楩楠豫章。>
2、<形>华美；有文彩的
<例句：黄金千斤，文车二驷，服剑一。>
3、<名>文章
<例句：醉能同其乐，醒能述以文者，太守也。>
4、<名>文字
<例句：独其文犹可识。>
5、<名>非军事的，与“武”相对
<例句：文武并用，垂拱而治。>
6、<动>在身上刺花纹，叫“文身”
<例句：越人断发文身。>
7、<名>文化；文教
<例句：文王既没，文不在兹乎？>
8、<量>用于旧时的铜钱，古称铜钱一枚为一文
<例句：在市铜价，八十一文得铜一斤，私造薄钱，斤馀二百。>
9、<动>修饰；掩盖
<例句：小人之过也必文。>
<例句：文过饰非>
10、<名>规定、仪式
<例句：仪者必又曰：省去繁文末节，则一岁可以再郊。>
<例句：繁文缛节>
11、<名>线条交错的图形；花纹
<例句：纹>
<例句：荆有长松文梓楩楠豫章。>
12、<形>华美；有文彩的
<例句：黄金千斤，文车二驷，服剑一。>
13、<名>文章
<例句：醉能同其乐，醒能述以文者，太守也。>
14、<名>文字
<例句：独其文犹可识。>
15、<名>非军事的，与“武”相对
<例句：文武并用，垂拱而治。>
16、<动>在身上刺花纹，叫“文身”
<例句：越人断发文身。>
17、<名>文化；文教
<例句：文王既没，文不在兹乎？>
18、<量>用于旧时的铜钱，古称铜钱一枚为一文
<例句：在市铜价，八十一文得铜一斤，私造薄钱，斤馀二百。>
19、<动>修饰；掩盖
<例句：小人之过也必文。>
<例句：文过饰非>
20、<名>规定、仪式
<例句：仪者必又曰：省去繁文末节，则一岁可以再郊。>
<例句：繁文缛节>
",0
102,”子曰：“于止，知其所止，可以人而不如鸟乎？”《诗》云：“穆穆文王，于【缉】熙敬止！”为人君，止于仁；为人臣，止于敬；为人子，止于孝；为人父，止于慈；与国人交，止于信,缉,"1、<动>捉拿，搜捕
<例句：缉拿>
<例句：缉获>
<例句：至本卫，则东西两司房访缉之。>
2、<动>聚集
<例句：立乎将卒之间，以缉华裔之众。>
3、<形>和睦
<例句：以厌远近不缉之情。>
4、<动>把麻搓捻成线
<例句：女勤于缉绩徽织。>
5、<动>（今读qī）横缝衣服下面的边
<例句：斩者何？不缉也。>
6、<动>捉拿，搜捕
<例句：缉拿>
<例句：缉获>
<例句：至本卫，则东西两司房访缉之。>
7、<动>聚集
<例句：立乎将卒之间，以缉华裔之众。>
8、<形>和睦
<例句：以厌远近不缉之情。>
9、<动>把麻搓捻成线
<例句：女勤于缉绩徽织。>
10、<动>（今读qī）横缝衣服下面的边
<例句：斩者何？不缉也。>
",0
103,”子曰：“于止，知其所止，可以人而不如鸟乎？”《诗》云：“穆穆文王，于缉【熙】敬止！”为人君，止于仁；为人臣，止于敬；为人子，止于孝；为人父，止于慈；与国人交，止于信,熙,"1、<动>暴晒，使东西干燥
<例句：仰熙丹崖，俯澡绿水。>
2、<形>光明
<例句：熙天曜日。>
3、<动>兴起；兴盛
<例句：重熙而累盛。>
4、<动>通“嬉”
<例句：鼓腹而熙。>
5、<形>福；吉祥
<例句：忽乘青玄，熙事备成。>
",2 0
104,”子曰：“于止，知其所止，可以人而不如鸟乎？”《诗》云：“穆穆文王，于缉熙敬【止】！”为人君，止于仁；为人臣，止于敬；为人子，止于孝；为人父，止于慈；与国人交，止于信,止,"1、<名>脚
<例句：当斩左止者，笞五百。>
<例句：趾>
2、<动>停止
<例句：舟止，从其所契者入水求之。>
3、<动>住下
<例句：复从峡度栈以上，止文殊院。>
4、<动>留住
<例句：止子路宿，杀鸡为黍而食之。>
5、<动>阻止
<例句：河曲智叟笑而止之。>
6、<动>中止
<例句：臂如为山，未成一篑，止吾止也。>
7、<副>通“只”
<例句：技止此耳。>
<例句：若止印三二本，未为简易。>
8、<助>用于句未，表示感叹
<例句：既曰归止，曷又怀止。>
",0
105,”子曰：“于止，知其所止，可以人而不如鸟乎？”《诗》云：“穆穆文王，于缉熙敬止！”为人君，【止】于仁；为人臣，止于敬；为人子，止于孝；为人父，止于慈；与国人交，止于信,止,"1、<名>脚
<例句：当斩左止者，笞五百。>
<例句：趾>
2、<动>停止
<例句：舟止，从其所契者入水求之。>
3、<动>住下
<例句：复从峡度栈以上，止文殊院。>
4、<动>留住
<例句：止子路宿，杀鸡为黍而食之。>
5、<动>阻止
<例句：河曲智叟笑而止之。>
6、<动>中止
<例句：臂如为山，未成一篑，止吾止也。>
7、<副>通“只”
<例句：技止此耳。>
<例句：若止印三二本，未为简易。>
8、<助>用于句未，表示感叹
<例句：既曰归止，曷又怀止。>
",0
106,”子曰：“于止，知其所止，可以人而不如鸟乎？”《诗》云：“穆穆文王，于缉熙敬止！”为人君，止【于】仁；为人臣，止于敬；为人子，止于孝；为人父，止于慈；与国人交，止于信,于,"1、放在形容词之后，表示比较，一般可译为""比""。有时可译为""胜过""。
<例句：良曰：""长于臣""。>
<例句：冰，水为之，而寒于水。>
2、有时则只是表示对象的性质和状态，可不译。
<例句：非常之谋难于猝发……>
3、""受""等字和它相应。
<例句：或脱身以逃，不能容于远近……>
<例句：臣诚恐见欺于王而负赵……>
<例句：吾不能举全吴之地，十万之众，受制于人……>
4、放在句子开头，表前后的承接或因果关系，与承接连词或因果连词相同。现代汉语也这样用。
<例句：于是秦王不悦，为击缻。>
<例句：吴之民方痛心焉，于是乘其厉声以呵，则噪而相逐。>
",0
107,”子曰：“于止，知其所止，可以人而不如鸟乎？”《诗》云：“穆穆文王，于缉熙敬止！”为人君，止于仁；为人臣，【止】于敬；为人子，止于孝；为人父，止于慈；与国人交，止于信,止,"1、<名>脚
<例句：当斩左止者，笞五百。>
<例句：趾>
2、<动>停止
<例句：舟止，从其所契者入水求之。>
3、<动>住下
<例句：复从峡度栈以上，止文殊院。>
4、<动>留住
<例句：止子路宿，杀鸡为黍而食之。>
5、<动>阻止
<例句：河曲智叟笑而止之。>
6、<动>中止
<例句：臂如为山，未成一篑，止吾止也。>
7、<副>通“只”
<例句：技止此耳。>
<例句：若止印三二本，未为简易。>
8、<助>用于句未，表示感叹
<例句：既曰归止，曷又怀止。>
",0
108,”子曰：“于止，知其所止，可以人而不如鸟乎？”《诗》云：“穆穆文王，于缉熙敬止！”为人君，止于仁；为人臣，止【于】敬；为人子，止于孝；为人父，止于慈；与国人交，止于信,于,"1、放在形容词之后，表示比较，一般可译为""比""。有时可译为""胜过""。
<例句：良曰：""长于臣""。>
<例句：冰，水为之，而寒于水。>
2、有时则只是表示对象的性质和状态，可不译。
<例句：非常之谋难于猝发……>
3、""受""等字和它相应。
<例句：或脱身以逃，不能容于远近……>
<例句：臣诚恐见欺于王而负赵……>
<例句：吾不能举全吴之地，十万之众，受制于人……>
4、放在句子开头，表前后的承接或因果关系，与承接连词或因果连词相同。现代汉语也这样用。
<例句：于是秦王不悦，为击缻。>
<例句：吴之民方痛心焉，于是乘其厉声以呵，则噪而相逐。>
",0
109,”子曰：“于止，知其所止，可以人而不如鸟乎？”《诗》云：“穆穆文王，于缉熙敬止！”为人君，止于仁；为人臣，止于敬；为人子，【止】于孝；为人父，止于慈；与国人交，止于信,止,"1、<名>脚
<例句：当斩左止者，笞五百。>
<例句：趾>
2、<动>停止
<例句：舟止，从其所契者入水求之。>
3、<动>住下
<例句：复从峡度栈以上，止文殊院。>
4、<动>留住
<例句：止子路宿，杀鸡为黍而食之。>
5、<动>阻止
<例句：河曲智叟笑而止之。>
6、<动>中止
<例句：臂如为山，未成一篑，止吾止也。>
7、<副>通“只”
<例句：技止此耳。>
<例句：若止印三二本，未为简易。>
8、<助>用于句未，表示感叹
<例句：既曰归止，曷又怀止。>
",0
