句子,字,释义,例子,正确选项（填序号）：,,
,,23、<动>猜中,<例句：射者中，弈者胜。>,,,
,,24、<动>中伤,<例句：臧怒，欲中守法。>,,,
子曰：“天下国家可均也，爵禄可辞也，白刃可蹈也，中【庸】不可能也,庸,1、<动>任用,<例句：王其无庸战。>,0,,
,,2、<动>受雇用,<例句：若为庸耕，何富贵也？>,,,
,,3、<名>受雇用的人,<例句：泽居苦水者，买庸而决窦。>,,,
,,4、<形>平庸,<例句：且庸人尚羞之，况于将相乎。>,,,
,,5、<副>难道；岂,<例句：吾师道也，夫庸知其年之先后生于吾乎？>,,,
子曰：“天下国家可均也，爵禄可辞也，白刃可蹈也，中庸【不】可能也,不,"2、<副>没有,表存在的否定",<例句：今日出而从日中不决何也?>,3,,
,,"3、<副>不是,表否定判断",<例句：又何往而不金玉其外败絮其中也哉。>,,,
,,5、<助>在句末表询问,<例句：秦王以十五城请易寡人之璧可予不?>,,,
,,6、<副>用在句中表否定,<例句：不者若属皆为所虏。>,,,
,,,<例句：或师焉或不焉。>,,,
子曰：“天下国家可均也，爵禄可辞也，白刃可蹈也，中庸不【可】能也,可,1、<动>可以；能够,<例句：师劳力竭，远主备之，无乃不可乎？>,1,,
,,2、<动>认为……可以；肯定,<例句：吾子好道而可吾文。>,,,
,,3、<动>适合；适宜,<例句：芙蕖之可人，其事不一而足。>,,,
,,4、<动>值得,<例句：其可怪也欤？>,,,
,,,<例句：风移影动，珊珊可爱。>,,,
,,5、<动>痊愈,<例句：瘦得浑如削，百般医疗终难可。>,,,
,,6、<副>大约；大概,<例句：舟首尾长约八分有奇，高可三黍许。>,,,
,,7、<副>莫非；怕是,<例句：李小二入来问道：‘可要吃酒？’>,,,
,,8、<副>难道；岂,<例句：可堪回首，佛狸祠下，一片神鸦社鼓。>,,,
,,10、<动>可以；能够,<例句：师劳力竭，远主备之，无乃不可乎？>,,,
,,11、<动>认为……可以；肯定,<例句：吾子好道而可吾文。>,,,
,,12、<动>适合；适宜,<例句：芙蕖之可人，其事不一而足。>,,,
,,13、<动>值得,<例句：其可怪也欤？>,,,
,,,<例句：风移影动，珊珊可爱。>,,,
,,14、<动>痊愈,<例句：瘦得浑如削，百般医疗终难可。>,,,
,,15、<副>大约；大概,<例句：舟首尾长约八分有奇，高可三黍许。>,,,
,,16、<副>莫非；怕是,<例句：李小二入来问道：‘可要吃酒？’>,,,
,,17、<副>难道；岂,<例句：可堪回首，佛狸祠下，一片神鸦社鼓。>,,,
子曰：“天下国家可均也，爵禄可辞也，白刃可蹈也，中庸不可【能】也,能,1、<名>能力；才能,<例句：上官大夫与之同列，争宠而心害其能。>,5,,
,,2、<形>有能力,<例句：试用于昔日，先帝称之曰能。>,,,
,,3、<名>有能力的人,<例句：招贤进能，显岩穴之士。>,,,
,,4、<动>能够；能够达到,<例句：假舟楫也，非能水也，而绝江河。>,,,
,,5、<动>及；达,<例句：盖余所及，比好游者尚不能十一。>,,,
,,6、<代>通“恁”,<例句：南村群童欺我老无力，忍能对面为盗贼。>,,,
,,7、<动>通“耐”,<例句：此物能寒，法当较今尤茂。>,,,
子曰：“天下国家可均也，爵禄可辞也，白刃可蹈也，中庸不可能【也】,也,1、表示判断语气的。,<例句：死生，昼夜事也。>,3,,
,,,<例句：吾师肺肝，皆铁石所铸造也。>,,,
,,2、表示肯定语气的。,<例句：昔人云："将以有为也。">,,,
,,,<例句：吾上恐负朝廷，下恐愧吾师也。>,,,
,,3、就是有否定词的句子，仍然是一种表否定的肯定。,<例句：众曰："若所为诚快，然使君冤未白，犹无益也。">,,,
,,4、表示疑问语气的。,<例句：吾王庶几无疾病与，何以能鼓乐也？>,,,
,,,<例句：公子畏死邪？何泣也？>,,,
,,5、表示感叹语气的。,<例句：吾王之好田猎，夫何使我至于此极也！>,,,
,,,<例句：君美甚，徐公何能及君也！>,,,
,,6、用在句中，表示停顿，以舒缓语气。,<例句：当余之从师也，负箧曳屣，行深山巨谷中……>,,,
,,,<例句：师道之不传也久矣。>,,,
【子】路问强,子,1、<名>婴儿,<例句：干、越。夷貉之子，生而同声，长而异俗。>,4,,
,,2、<名>孩子,<例句：率妻子邑人来此绝境。>,,,
,,3、<名>儿子或女儿,<例句：而长子迈将赴饶之德兴尉。>,,,
,,4、<名>对人的尊称,<例句：您>,,,
,,,<例句：子何恃而往？>,,,
,,5、<名>泛指人,<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>,,,
,,6、<名>特称孔子,<例句：子曰：‘岁寒，然后知松柏之后凋也。’>,,,
,,7、<名>地支的第一位,<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>,,,
,,8、通“仔”,<例句：仔细>,,,
,,,<例句：详缓看字，子细分明读之。>,,,
,,9、<名>婴儿,<例句：干、越。夷貉之子，生而同声，长而异俗。>,,,
,,10、<名>孩子,<例句：率妻子邑人来此绝境。>,,,
,,11、<名>儿子或女儿,<例句：而长子迈将赴饶之德兴尉。>,,,
,,12、<名>对人的尊称,<例句：您>,,,
,,,<例句：子何恃而往？>,,,
,,13、<名>泛指人,<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>,,,
,,14、<名>特称孔子,<例句：子曰：‘岁寒，然后知松柏之后凋也。’>,,,
,,15、<名>地支的第一位,<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>,,,
,,16、通“仔”,<例句：仔细>,,,
,,,<例句：详缓看字，子细分明读之。>,,,
,,17、<名>婴儿,<例句：干、越。夷貉之子，生而同声，长而异俗。>,,,
,,18、<名>孩子,<例句：率妻子邑人来此绝境。>,,,
,,19、<名>儿子或女儿,<例句：而长子迈将赴饶之德兴尉。>,,,
,,20、<名>对人的尊称,<例句：您>,,,
,,,<例句：子何恃而往？>,,,
,,21、<名>泛指人,<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>,,,
,,22、<名>特称孔子,<例句：子曰：‘岁寒，然后知松柏之后凋也。’>,,,
,,23、<名>地支的第一位,<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>,,,
,,24、通“仔”,<例句：仔细>,,,
,,,<例句：详缓看字，子细分明读之。>,,,
子【路】问强,路,1、<名>道路,<例句：遂迷，不复得路。>,0,,
,,2、<名>途径；门路,<例句：以塞忠谏之路也。>,,,
,,3、<名>路程；路途,<例句：缘溪行，忘路之远近。>,,,
,,4、<名>宋元时的行政区域名,<例句：望中犹记，烽火扬州路。>,,,
,,5、<形>衰败；疲惫,<例句：如必，自为而后用之是率天下而路也。>,,,
子路【问】强,问,1、<动>询问,<例句：公问其故。>,1,,
,,2、<动>慰问；问候,<例句：村中闻有此人，咸来问讯。>,,,
,,3、<动>请教,<例句：犹且从师而问焉。>,,,
,,4、<动>追究；考察,<例句：第得降卒，必亲引问委曲。>,,,
,,5、<动>管；干预,<例句：府佐快其所为，阴纵之，不问。>,,,
子路问【强】,强,1、<形>(弓弩)硬而有力,<例句：强弩之末势不能穿鲁缟。>,0,,
,,2、<形>泛指强健有力,<例句：蚓无爪牙之利，筋骨之强。>,,,
,,3、<形>强大；强盛,<例句：外无期功强近之亲，内无应门五尺之僮。>,,,
,,4、<动>加强；增强,<例句：强公室，杜私门。>,,,
,,5、<形>强悍；强横,<例句：周处年少时，凶强侠气，为乡里所患。>,,,
,,6、<动>胜过；比……强,<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>,,,
,,7、<形>馀；有馀,<例句：策勋十二转，赏赐百千强。>,,,
,,8、<动>强迫,<例句：少年固强之。>,,,
,,9、<副>强行,<例句：秦王度之，终不可强夺。>,,,
,,10、<副>勉强,<例句：非夫人之物而强假焉，必虑人逼取。>,,,
,,11、<副>竭力；尽力,<例句：太后不肯，大臣强谏。>,,,
,,12、<形>固执；强硬不屈,<例句：唯北狄野心，掘强沙塞之间。>,,,
,,13、<形>(弓弩)硬而有力,<例句：强弩之末势不能穿鲁缟。>,,,
,,14、<形>泛指强健有力,<例句：蚓无爪牙之利，筋骨之强。>,,,
,,15、<形>强大；强盛,<例句：外无期功强近之亲，内无应门五尺之僮。>,,,
,,16、<动>加强；增强,<例句：强公室，杜私门。>,,,
,,17、<形>强悍；强横,<例句：周处年少时，凶强侠气，为乡里所患。>,,,
,,18、<动>胜过；比……强,<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>,,,
,,19、<形>馀；有馀,<例句：策勋十二转，赏赐百千强。>,,,
,,20、<动>强迫,<例句：少年固强之。>,,,
,,21、<副>强行,<例句：秦王度之，终不可强夺。>,,,
,,22、<副>勉强,<例句：非夫人之物而强假焉，必虑人逼取。>,,,
,,23、<副>竭力；尽力,<例句：太后不肯，大臣强谏。>,,,
,,24、<形>固执；强硬不屈,<例句：唯北狄野心，掘强沙塞之间。>,,,
,,25、<形>(弓弩)硬而有力,<例句：强弩之末势不能穿鲁缟。>,,,
,,26、<形>泛指强健有力,<例句：蚓无爪牙之利，筋骨之强。>,,,
,,27、<形>强大；强盛,<例句：外无期功强近之亲，内无应门五尺之僮。>,,,
,,28、<动>加强；增强,<例句：强公室，杜私门。>,,,
,,29、<形>强悍；强横,<例句：周处年少时，凶强侠气，为乡里所患。>,,,
,,30、<动>胜过；比……强,<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>,,,
,,31、<形>馀；有馀,<例句：策勋十二转，赏赐百千强。>,,,
,,32、<动>强迫,<例句：少年固强之。>,,,
,,33、<副>强行,<例句：秦王度之，终不可强夺。>,,,
,,34、<副>勉强,<例句：非夫人之物而强假焉，必虑人逼取。>,,,
,,35、<副>竭力；尽力,<例句：太后不肯，大臣强谏。>,,,
,,36、<形>固执；强硬不屈,<例句：唯北狄野心，掘强沙塞之间。>,,,
【子】曰：“南方之强与？北方之强与？抑而强与？宽柔以教，不报无道，南方之强也，君子居之,子,1、<名>婴儿,<例句：干、越。夷貉之子，生而同声，长而异俗。>,6,,
,,2、<名>孩子,<例句：率妻子邑人来此绝境。>,,,
,,3、<名>儿子或女儿,<例句：而长子迈将赴饶之德兴尉。>,,,
,,4、<名>对人的尊称,<例句：您>,,,
,,,<例句：子何恃而往？>,,,
,,5、<名>泛指人,<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>,,,
,,6、<名>特称孔子,<例句：子曰：‘岁寒，然后知松柏之后凋也。’>,,,
,,7、<名>地支的第一位,<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>,,,
,,8、通“仔”,<例句：仔细>,,,
,,,<例句：详缓看字，子细分明读之。>,,,
,,9、<名>婴儿,<例句：干、越。夷貉之子，生而同声，长而异俗。>,,,
,,10、<名>孩子,<例句：率妻子邑人来此绝境。>,,,
,,11、<名>儿子或女儿,<例句：而长子迈将赴饶之德兴尉。>,,,
,,12、<名>对人的尊称,<例句：您>,,,
,,,<例句：子何恃而往？>,,,
,,13、<名>泛指人,<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>,,,
,,14、<名>特称孔子,<例句：子曰：‘岁寒，然后知松柏之后凋也。’>,,,
,,15、<名>地支的第一位,<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>,,,
,,16、通“仔”,<例句：仔细>,,,
,,,<例句：详缓看字，子细分明读之。>,,,
,,17、<名>婴儿,<例句：干、越。夷貉之子，生而同声，长而异俗。>,,,
,,18、<名>孩子,<例句：率妻子邑人来此绝境。>,,,
,,19、<名>儿子或女儿,<例句：而长子迈将赴饶之德兴尉。>,,,
,,20、<名>对人的尊称,<例句：您>,,,
,,,<例句：子何恃而往？>,,,
,,21、<名>泛指人,<例句：然陈涉瓮牖绳枢之子，甿隶之人，而迁徏之徒也。>,,,
,,22、<名>特称孔子,<例句：子曰：‘岁寒，然后知松柏之后凋也。’>,,,
,,23、<名>地支的第一位,<例句：光绪十六年春闰二月甲子，余游巴黎蜡人馆。>,,,
,,24、通“仔”,<例句：仔细>,,,
,,,<例句：详缓看字，子细分明读之。>,,,
子【曰】：“南方之强与？北方之强与？抑而强与？宽柔以教，不报无道，南方之强也，君子居之,曰,1、<动>说,<例句：君子曰：学不可以已。>,1,,
,,2、<动>称为,<例句：齐有处士曰钟离子。>,,,
,,3、<动>是，举例时用,<例句：按诸五人，曰颜佩伟，杨念如……>,,,
,,4、<动>为,<例句：先帝称之曰能。>,,,
,,5、<助>用于句首,<例句：曰为改岁，入此室处。>,,,
子曰：“【南】方之强与？北方之强与？抑而强与？宽柔以教，不报无道，南方之强也，君子居之,南,1、<名>方向，同“北”相反,<例句：南取汉中，西举巴蜀。>,1,,
,,2、<动>向南走,<例句：南之人不得北，北之人不得南。>,,,
,,3、<名>古代乐舞名称,<例句：以雅以南。>,,,
,,5、<名>方向，同“北”相反,<例句：南取汉中，西举巴蜀。>,,,
,,6、<动>向南走,<例句：南之人不得北，北之人不得南。>,,,
,,7、<名>古代乐舞名称,<例句：以雅以南。>,,,
子曰：“南【方】之强与？北方之强与？抑而强与？宽柔以教，不报无道，南方之强也，君子居之,方,"1、<名>两船相并,也指并排竹木做成的筏",<例句：就其深矣方之舟之。>,5,,
,,"2、<名>方形,与“圆”相对",<例句：形若土狗梅花翅方首长颈。>,,,
,,3、<形>正直,<例句：方正之不容也。>,,,
,,4、<名>方向;方位,<例句：不知东方之既白。>,,,
,,5、<名>区域;地方,<例句：有朋自远方来不亦乐乎。>,,,
,,6、<名>方圆;周围,<例句：方宅十余亩草屋八九间。>,,,
,,7、<动>比拟;相比,<例句：则三古以还年代方之犹瀼渴之水。>,,,
,,8、<名>方法;计策,<例句：以鲁肃为赞军校尉助画方略。>,,,
,,9、<道理;礼义>,<例句：比及三年可使有勇旦知方也。>,,,
,,,<例句：吾长见笑于大方之家。>,,,
,,10、<名>药方;单方,<例句：请了多少名医修方配药皆不见效。>,,,
,,11、<介>当;在,<例句：故方其盛也举天下之豪杰。>,,,
,,12、<副>才;刚刚,<例句：伐山取材方有人见之。>,,,
,,,<例句：庑下一生伏案卧文方成草。>,,,
,,13、<副>正;正在,<例句：秦王方还柱走卒惶急不知所为。>,,,
,,14、<副>将要;就要,<例句：吾方高驰而不欧。>,,,
,,15、<动>纵横;方圆,<例句：今齐之地方千里。>,,,
子曰：“南方【之】强与？北方之强与？抑而强与？宽柔以教，不报无道，南方之强也，君子居之,之,1、指示代词，表近指。可译为"这"，通常作复指性定语。,<例句：均之二策。>,2,,
,,2、之间，可译为"的"，有的可不译。,<例句：若能以吴、越之众与中国抗衡。>,,,
,,3、和补语之间，可译为"得"。,<例句：古人之观于天地、山川、草木、虫鱼、鸟兽，往往有得，以其求思之深而无不在也。>,,,
,,4、 结构助词。当主谓短语在句中作主语、宾语或一个分句时，"之"用在主语和谓语之间，起取消句子独立性的作用，可不译。译时可省去。,<例句：师道之不传也久矣！欲人之无惑也难矣！>,,,
,,,<例句：悍吏之来吾乡，叫嚣乎东西。>,,,
,,,<例句：孤之有孔明，犹鱼之有水也。>,,,
,,5、音节助词，用在形容词、副词或某些动词的末尾，或用在三个字之间，使之凑成四个字，只起调整音节的作用，无义，译时应省去。,<例句：顷之，烟炎张天。>,,,
,,,<例句：毛先生以三寸之舌，强于百万之师。>,,,
,,,<例句：久之，目似瞑，意暇甚>,,,
子曰：“南方之【强】与？北方之强与？抑而强与？宽柔以教，不报无道，南方之强也，君子居之,强,1、<形>(弓弩)硬而有力,<例句：强弩之末势不能穿鲁缟。>,0,,
,,2、<形>泛指强健有力,<例句：蚓无爪牙之利，筋骨之强。>,,,
,,3、<形>强大；强盛,<例句：外无期功强近之亲，内无应门五尺之僮。>,,,
,,4、<动>加强；增强,<例句：强公室，杜私门。>,,,
,,5、<形>强悍；强横,<例句：周处年少时，凶强侠气，为乡里所患。>,,,
,,6、<动>胜过；比……强,<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>,,,
,,7、<形>馀；有馀,<例句：策勋十二转，赏赐百千强。>,,,
,,8、<动>强迫,<例句：少年固强之。>,,,
,,9、<副>强行,<例句：秦王度之，终不可强夺。>,,,
,,10、<副>勉强,<例句：非夫人之物而强假焉，必虑人逼取。>,,,
,,11、<副>竭力；尽力,<例句：太后不肯，大臣强谏。>,,,
,,12、<形>固执；强硬不屈,<例句：唯北狄野心，掘强沙塞之间。>,,,
,,13、<形>(弓弩)硬而有力,<例句：强弩之末势不能穿鲁缟。>,,,
,,14、<形>泛指强健有力,<例句：蚓无爪牙之利，筋骨之强。>,,,
,,15、<形>强大；强盛,<例句：外无期功强近之亲，内无应门五尺之僮。>,,,
,,16、<动>加强；增强,<例句：强公室，杜私门。>,,,
,,17、<形>强悍；强横,<例句：周处年少时，凶强侠气，为乡里所患。>,,,
,,18、<动>胜过；比……强,<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>,,,
,,19、<形>馀；有馀,<例句：策勋十二转，赏赐百千强。>,,,
,,20、<动>强迫,<例句：少年固强之。>,,,
,,21、<副>强行,<例句：秦王度之，终不可强夺。>,,,
,,22、<副>勉强,<例句：非夫人之物而强假焉，必虑人逼取。>,,,
,,23、<副>竭力；尽力,<例句：太后不肯，大臣强谏。>,,,
,,24、<形>固执；强硬不屈,<例句：唯北狄野心，掘强沙塞之间。>,,,
,,25、<形>(弓弩)硬而有力,<例句：强弩之末势不能穿鲁缟。>,,,
,,26、<形>泛指强健有力,<例句：蚓无爪牙之利，筋骨之强。>,,,
,,27、<形>强大；强盛,<例句：外无期功强近之亲，内无应门五尺之僮。>,,,
,,28、<动>加强；增强,<例句：强公室，杜私门。>,,,
,,29、<形>强悍；强横,<例句：周处年少时，凶强侠气，为乡里所患。>,,,
,,30、<动>胜过；比……强,<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>,,,
,,31、<形>馀；有馀,<例句：策勋十二转，赏赐百千强。>,,,
,,32、<动>强迫,<例句：少年固强之。>,,,
,,33、<副>强行,<例句：秦王度之，终不可强夺。>,,,
,,34、<副>勉强,<例句：非夫人之物而强假焉，必虑人逼取。>,,,
,,35、<副>竭力；尽力,<例句：太后不肯，大臣强谏。>,,,
,,36、<形>固执；强硬不屈,<例句：唯北狄野心，掘强沙塞之间。>,,,
子曰：“南方之强【与】？北方之强与？抑而强与？宽柔以教，不报无道，南方之强也，君子居之,与,1、作连词。相当于"和"、"跟"、"同"。,<例句：蜩与学鸠笑之。>,0,,
,,2、助感叹语气，可译为"啊"。,<例句：其可怪也欤！>,,,
,,3、"孰与"连用，用来比较两个人的高下、优劣或两件事的得失、好坏。又可分为两类。一类是句中提出比较的内容，可译为"与……相比，谁……"。,<例句：吾孰与徐公美？>,,,
,,4、一类是句中没有提出比较的内容，可译为"与……比较起来怎么样。",<例句：公之视廉将军孰与奉之？>,,,
子曰：“南方之强与？【北】方之强与？抑而强与？宽柔以教，不报无道，南方之强也，君子居之,北,1、<名>北方,<例句：本在冀州之南河旧之北。>,1,,
,,2、<动>向北行,<例句：操军破必北还。>,,,
,,3、<动>打了败仗往回跑,<例句：未尝败北。>,,,
,,4、<名败逃者>,<例句：秦有余力而制其弊追亡逐北。>,,,
子曰：“南方之强与？北【方】之强与？抑而强与？宽柔以教，不报无道，南方之强也，君子居之,方,"1、<名>两船相并,也指并排竹木做成的筏",<例句：就其深矣方之舟之。>,5,,
,,"2、<名>方形,与“圆”相对",<例句：形若土狗梅花翅方首长颈。>,,,
,,3、<形>正直,<例句：方正之不容也。>,,,
,,4、<名>方向;方位,<例句：不知东方之既白。>,,,
,,5、<名>区域;地方,<例句：有朋自远方来不亦乐乎。>,,,
,,6、<名>方圆;周围,<例句：方宅十余亩草屋八九间。>,,,
,,7、<动>比拟;相比,<例句：则三古以还年代方之犹瀼渴之水。>,,,
,,8、<名>方法;计策,<例句：以鲁肃为赞军校尉助画方略。>,,,
,,9、<道理;礼义>,<例句：比及三年可使有勇旦知方也。>,,,
,,,<例句：吾长见笑于大方之家。>,,,
,,10、<名>药方;单方,<例句：请了多少名医修方配药皆不见效。>,,,
,,11、<介>当;在,<例句：故方其盛也举天下之豪杰。>,,,
,,12、<副>才;刚刚,<例句：伐山取材方有人见之。>,,,
,,,<例句：庑下一生伏案卧文方成草。>,,,
,,13、<副>正;正在,<例句：秦王方还柱走卒惶急不知所为。>,,,
,,14、<副>将要;就要,<例句：吾方高驰而不欧。>,,,
,,15、<动>纵横;方圆,<例句：今齐之地方千里。>,,,
子曰：“南方之强与？北方【之】强与？抑而强与？宽柔以教，不报无道，南方之强也，君子居之,之,1、指示代词，表近指。可译为"这"，通常作复指性定语。,<例句：均之二策。>,2,,
,,2、之间，可译为"的"，有的可不译。,<例句：若能以吴、越之众与中国抗衡。>,,,
,,3、和补语之间，可译为"得"。,<例句：古人之观于天地、山川、草木、虫鱼、鸟兽，往往有得，以其求思之深而无不在也。>,,,
,,4、 结构助词。当主谓短语在句中作主语、宾语或一个分句时，"之"用在主语和谓语之间，起取消句子独立性的作用，可不译。译时可省去。,<例句：师道之不传也久矣！欲人之无惑也难矣！>,,,
,,,<例句：悍吏之来吾乡，叫嚣乎东西。>,,,
,,,<例句：孤之有孔明，犹鱼之有水也。>,,,
,,5、音节助词，用在形容词、副词或某些动词的末尾，或用在三个字之间，使之凑成四个字，只起调整音节的作用，无义，译时应省去。,<例句：顷之，烟炎张天。>,,,
,,,<例句：毛先生以三寸之舌，强于百万之师。>,,,
,,,<例句：久之，目似瞑，意暇甚>,,,
子曰：“南方之强与？北方之【强】与？抑而强与？宽柔以教，不报无道，南方之强也，君子居之,强,1、<形>(弓弩)硬而有力,<例句：强弩之末势不能穿鲁缟。>,0,,
,,2、<形>泛指强健有力,<例句：蚓无爪牙之利，筋骨之强。>,,,
,,3、<形>强大；强盛,<例句：外无期功强近之亲，内无应门五尺之僮。>,,,
,,4、<动>加强；增强,<例句：强公室，杜私门。>,,,
,,5、<形>强悍；强横,<例句：周处年少时，凶强侠气，为乡里所患。>,,,
,,6、<动>胜过；比……强,<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>,,,
,,7、<形>馀；有馀,<例句：策勋十二转，赏赐百千强。>,,,
,,8、<动>强迫,<例句：少年固强之。>,,,
,,9、<副>强行,<例句：秦王度之，终不可强夺。>,,,
,,10、<副>勉强,<例句：非夫人之物而强假焉，必虑人逼取。>,,,
,,11、<副>竭力；尽力,<例句：太后不肯，大臣强谏。>,,,
,,12、<形>固执；强硬不屈,<例句：唯北狄野心，掘强沙塞之间。>,,,
,,13、<形>(弓弩)硬而有力,<例句：强弩之末势不能穿鲁缟。>,,,
,,14、<形>泛指强健有力,<例句：蚓无爪牙之利，筋骨之强。>,,,
,,15、<形>强大；强盛,<例句：外无期功强近之亲，内无应门五尺之僮。>,,,
,,16、<动>加强；增强,<例句：强公室，杜私门。>,,,
,,17、<形>强悍；强横,<例句：周处年少时，凶强侠气，为乡里所患。>,,,
,,18、<动>胜过；比……强,<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>,,,
,,19、<形>馀；有馀,<例句：策勋十二转，赏赐百千强。>,,,
,,20、<动>强迫,<例句：少年固强之。>,,,
,,21、<副>强行,<例句：秦王度之，终不可强夺。>,,,
,,22、<副>勉强,<例句：非夫人之物而强假焉，必虑人逼取。>,,,
,,23、<副>竭力；尽力,<例句：太后不肯，大臣强谏。>,,,
,,24、<形>固执；强硬不屈,<例句：唯北狄野心，掘强沙塞之间。>,,,
,,25、<形>(弓弩)硬而有力,<例句：强弩之末势不能穿鲁缟。>,,,
,,26、<形>泛指强健有力,<例句：蚓无爪牙之利，筋骨之强。>,,,
,,27、<形>强大；强盛,<例句：外无期功强近之亲，内无应门五尺之僮。>,,,
,,28、<动>加强；增强,<例句：强公室，杜私门。>,,,
,,29、<形>强悍；强横,<例句：周处年少时，凶强侠气，为乡里所患。>,,,
,,30、<动>胜过；比……强,<例句：宣宗收燕、赵，复河、隍，力强于宪、武矣。>,,,
,,31、<形>馀；有馀,<例句：策勋十二转，赏赐百千强。>,,,
,,32、<动>强迫,<例句：少年固强之。>,,,
,,33、<副>强行,<例句：秦王度之，终不可强夺。>,,,
,,34、<副>勉强,<例句：非夫人之物而强假焉，必虑人逼取。>,,,
,,35、<副>竭力；尽力,<例句：太后不肯，大臣强谏。>,,,
,,36、<形>固执；强硬不屈,<例句：唯北狄野心，掘强沙塞之间。>,,,
子曰：“南方之强与？北方之强【与】？抑而强与？宽柔以教，不报无道，南方之强也，君子居之,与,1、作连词。相当于"和"、"跟"、"同"。,<例句：蜩与学鸠笑之。>,0,,
,,2、助感叹语气，可译为"啊"。,<例句：其可怪也欤！>,,,
,,3、"孰与"连用，用来比较两个人的高下、优劣或两件事的得失、好坏。又可分为两类。一类是句中提出比较的内容，可译为"与……相比，谁……"。,<例句：吾孰与徐公美？>,,,
,,4、一类是句中没有提出比较的内容，可译为"与……比较起来怎么样。",<例句：公之视廉将军孰与奉之？>,,,
子曰：“南方之强与？北方之强与？【抑】而强与？宽柔以教，不报无道，南方之强也，君子居之,抑,1、<动>按；向下压,<例句：扬>,5,,
,,,<例句：高者抑之，下者举之。>,,,
,,2、<动>压抑；抑制,<例句：禁其浮靡，抑其兼并。>,,,
,,3、<形>抑郁；低沉,<例句：弦弦掩抑声声思，似诉平生不得志。>,,,
,,4、<连>表示轻微的转折，可译为“可是”、“不过”,<例句：非惟天时，抑亦人谋也。>,,,
,,5、<连>表示选择，可译为“或者”、“还是”,<例句：岂得之难而失之易欤？抑本其成败之迹，而皆自于欤？>,,,
子曰：“南方之强与？北方之强与？抑【而】强与？宽柔以教，不报无道，南方之强也，君子居之,而,1、表示并列关系。,<例句：蟹六跪而二螯，非蛇鳝之穴无可寄托者>,9,,
,,,<例句：剑阁峥嵘而崔嵬，一夫当关，万夫莫开>,,,
,,,<例句：北救赵而西却秦，此五霸之伐也>,,,
,,2、表示递进关系。,<例句：君子博学而日参省乎己。>,,,
,,,<例句：楚怀王贪而信张仪，遂绝齐>,,,
,,,<例句：回视日观以西峰，或得日，或否，绛皜驳色，而皆若偻>,,,
,,,<例句：以其求思之深而无不在也>,,,
,,3、表示承接关系。,<例句：故舍汝而旅食京师，以求斗斛之禄>,,,
,,,<例句：置之地，拔剑撞而破之。>,,,
,,,<例句：积善成德，而神明自得，圣心备焉。>,,,
,,,<例句：人非生而知之者，孰能无惑>,,,
,,4、表示转折关系。,<例句：青，取之于蓝，而青于蓝>,,,
,,,<例句：有如此之势，而为秦人积威之所劫>,,,
,,,<例句：信也，吾兄之盛德而夭其嗣乎>,,,
,,5、表示假设关系。,<例句：诸君而有意，瞻予马首可也。>,,,
,,,<例句：死而有知，其几何离>,,,
,,,<例句：锲而不舍，金石可镂。>,,,
,,,<例句：人而无信，不知其可也。>,,,
,,6、表示修饰关系。,<例句：吾尝跂而望矣，不如登高之博见也>,,,
,,,<例句：填然鼓之，兵刃既接，弃甲曳兵而走>,,,
,,,<例句：项王按剑而跽曰："客何为者？">,,,
,,7、表示因果关系。,<例句：余亦悔其随之而不得极夫游之乐也>,,,
,,,<例句：表恶其能而不用也>,,,
,,,<例句：小人不知天命而不畏也。>,,,
,,8、表示目的关系。,<例句：缦立远视，而望幸焉>,,,
,,,<例句：籍吏民，封府库，而待将军>,,,
,,,<例句：吾恂恂而起。>,,,
,,9、代词。第二人称，一般作定语，译为"你的"，偶尔也作主语，译为"你"。,<例句：而翁长铨，迁我京职，则汝朝夕侍母。>,,,
,,10、相当于“以”，表范围。,<例句：形而上者谓之道，形而下者谓之器>,,,
,,11、表反问语气，相当于“岂”。,<例句：为仁由己，而由人乎哉>,,,
,,12、动词。同“如”，好像，如同。,<例句：溺死者千有余人军惊而坏都舍。>,,,
,,13、复音虚词"而已"。放在句末，表示限止的语气助词，相当于"罢了"。,<例句：一人、一桌、一椅、一扇、一抚尺而已。>,,,
,,,<例句：闻道有先后，术业有专攻，如是而已。>,,,
