,words,words_meaning,sentences
1490,衣,上衣,"['何不作衣裳，莫令事不举。', '王欲行之，则盍反其本矣。五亩之宅，树之以桑，五十者可以衣帛矣。鸡豚狗彘之畜，无失其时，七十者可以食肉矣。', '是其为人也，有粮者亦食，无粮者亦食。有衣者亦衣，无衣者亦衣。是助王养其民也，何以至今不业也。', '养生丧死无憾，王道之始也。五亩之宅，树之以桑，五十者可以衣帛矣。鸡豚狗彘之畜，无失其时，七十者可以食肉矣。', '适有孤鹤，横江东来。翅如车轮，玄裳缟衣，戛然长鸣，掠予舟而西也。须臾客去，予亦就睡。']"
1491,伊,句首语气词,"['伊故乡之可怀。', '，伊邻里之可怀。，', '，伊故乡之共怀。，']"
1492,伊,指示代词，此,"['所谓伊人，在水一方。', '使天而雨玉，饥者不得以为粟。一雨三日，伊谁之力。民曰太守。', '使天而雨玉，饥者不得以为粟。一雨三日，伊谁之力。进而民曰太守。，', '，所谓伊人，在水时人。，', '使天而雨玉，饥者不得以为粟。一雨三日，伊谁之力。艺人曰太守。，', '使天而雨玉，饥者不得以为粟。一毅三日，伊谁之力。民曰太守。，']"
1493,伊,第三人称代词,"['江家我顾伊，庾家伊顾我。', '有人先游，则枯木朽株，树功而不忘。今夫天下布衣穷居之士，身在贫羸，虽蒙尧、舜之术，挟伊、管之辩，怀龙逢、比干之意，而素无根柢之容，虽竭精神，欲开忠于当世之君，则人主必袭按剑相眄之迹矣。是使布衣之士不得为枯木朽株之资也。', '，江唇我顾伊，庾家伊顾我。，', '有人先游,则枯木朽株,树功而不忘。今夫天下布衣穷居之士,身在贫羸，虽蒙尧、舜之皭术，挟伊、管之辩，怀龙逢、比干之意，而素无根柢之容,虽竭精神,欲开忠于当世之君,则人主必袭按剑相眄之迹矣。是使布衣之士不得为枯木朽株之资也。', '，江家我顾伊，臧僖伯顾我。，', '有人先游,则枯木朽株,树功而不忘。今夫天下布衣穷居之士,身在贫羸，虽蒙尧、王志之术，挟伊、管之辩，怀龙逢、比干之意，而素无根柢之容,虽竭精神,欲开忠于当世之君,则人主必袭按剑相眄之迹矣。是使布衣之士不得为枯木朽株之资也。']"
1494,一,专一,['用心一也。']
1495,一,数词,"['一屠晚归。', '雾凇沆砀，天与云、与山、与水，上下一白。湖上影子，惟长堤一痕、湖心亭一点、与余舟一芥、舟中人两三粒而已。到亭上，有两人铺毡对坐，一童子烧酒，炉正沸。', '雾凇沆砀，天与云、与山、与水，上下一白。房上影子，惟长堤一痕、湖心亭一点、与余舟一芥、舟中人两三粒而已。到亭上，有两人铺毡对坐,一童子烧酒,炉正沸。', '雾凇沆砀，天与云、与山、与水，上下一白。湖上豪杰，惟长堤一痕、湖心亭一点、与余舟一芥、舟中人两三粒而已。到亭上，有两人铺毡对坐,一童子烧酒,炉正沸。', '雾凇沆砀，天与云、与山、与水，上下一白。不者湖上影子，惟长堤一痕、湖心亭一点、与余舟一芥、舟中人两三粒而已。到亭上，有两人铺毡对坐,一童子烧酒,炉正沸。']"
1496,一,一边；一面,"['一觞一咏，亦足以畅叙幽情。', '登斯楼也，则有去国怀乡，忧谗畏讥，满目萧然，感极而悲者矣。至若春和景明，波澜不惊，上下天光，一碧万顷。沙鸥翔集，锦鳞游泳。', '，一觞一矢，亦足以畅叙幽情。，', '，一觞一咏，本足以畅叙幽情。，', '，一觞一庸咏，亦足以畅叙幽情。，', '登斯楼也,则有去国怀乡,忧谗畏讥,满目萧然,感极而悲者矣。至若春和景明,波澜不惊，太师天光，一碧万顷。沙鸥翔集，锦鳞游泳。，', '登斯楼也,则有去国怀乡,忧谗畏讥,满目萧然,感极而悲者矣。至若春和景明,波澜不惊，终身上下天光，一碧万顷。沙鸥翔集，锦鳞游泳。，', '登斯楼也,则有去国怀乡,忧谗畏讥,满目萧然,感极而悲者矣。至若春和景明,波澜不惊，上下仿佛天光，一碧万顷。沙鸥翔集，锦鳞游泳。，', '登斯楼也,则有去国怀乡,忧谗畏讥,满目萧然,感极而悲者矣。至若春和景明,波澜不惊，上下天光，一碧万顷。空沙鸥翔集，锦鳞游泳。，']"
1497,一,初次,['一鼓作气。']
1498,一,统一,"['六王毕，四海一。', '故桓、文扶微兴坏，尊文、武之业，泽加百姓，功润诸侯，虽不及三王，天下归仁焉。文帝永思至德，以承天心，崇仁义，省刑罚，通关梁，一远近，敬贤如大宾，爱民如赤子，内恕情之所安而施之于海内，是以囹圄空虚，天下太平。夫继变化之后，必有异旧之恩，此贤圣所以昭天命也。', '其主于身，谓之心。心也，性也，命也，一也。通人物，达四海，塞天地，亘古今，无有乎弗具，无有乎弗同，无有乎或变者也，是常道也。', '盖虑之所能及者，人事之宜然，而出于智力之所不及者，天道也。当秦之世，而灭诸侯，一天下。而其心以为周之亡在乎诸侯之强耳，变封建而为郡县。', '阿房宫赋六王毕，四海一，蜀山兀，阿房出。覆压三百余里，隔离天日。', '故桓、文扶微兴坏,尊文、武之业,泽加百姓,功润诸侯,虽不及三王,天下归仁焉。文帝永思至德,以承天心,崇仁义,省刑罚，通关梁，一虏，敬贤如大宾，爱民如赤子,内恕情之所安而施之于海内,是以囹圄空虚,天下太平。夫继变化之后,必有异旧之恩,此贤圣所以昭天命也。', '其主于身,谓之心。心也,性也，欣然命也，一也。通人物，达四海，塞天地,亘古今,无有乎弗具,无有乎弗同,无有乎或变者也,是常道也。', '故桓、文扶微兴坏,尊文、武之业,泽加百姓,功润诸侯,虽不及三王,天下归仁焉。文帝永思至德,以承天心,崇仁义,省刑罚，通奈关梁，一远近，敬贤如大宾，爱民如赤子,内恕情之所安而施之于海内,是以囹圄空虚,天下太平。夫继变化之后,必有异旧之恩,此贤圣所以昭天命也。', '故桓、文扶微兴坏,尊文、武之业,泽加百姓,功润诸侯,虽不及三王,天下归仁焉。文帝永思至德,以承天心,崇仁义,省刑罚，通关梁，一马远近，敬贤如大宾，爱民如赤子,内恕情之所安而施之于海内,是以囹圄空虚,天下太平。夫继变化之后,必有异旧之恩,此贤圣所以昭天命也。', '，六王毕，甫四海一。，', '盖虑之所能及者,人事之宜然,而出于智力之所不及者,天道也。当秦之世，而灭贤臣，一天下。而其心以为周之亡在乎诸侯之强耳，变封建而为郡县。，', '盖虑之所能及者,人事之宜然,而出于智力之所不及者,天道也。当秦之世，而灭诸侯，一亟天下。而其心以为周之亡在乎诸侯之强耳，变封建而为郡县。，', '，阿房宫赋六王毕，忽四海一，蜀山兀，阿房出。覆压三百余里,隔离天日。', '其主于身,谓之心。心也,性也，命也，一也。通其次人物，达四海，塞天地,亘古今,无有乎弗具,无有乎弗同,无有乎或变者也,是常道也。', '，六浑王毕，四海一。，', '盖虑之所能及者,人事之宜然,而出于智力之所不及者,天道也。当秦之世，而灭诸侯，一天下。而其辕以为周之亡在乎诸侯之强耳，变封建而为郡县。，', '，六王如毕，四海一。，', '，六延州毕，四海一。，', '盖虑之所能及者,人事之宜然,而出于智力之所不及者,天道也。当秦之世，短灭诸侯，一天下。而其心以为周之亡在乎诸侯之强耳，变封建而为郡县。，']"
1499,一,看作一样,"['固知一死生为虚诞，齐彭殇为妄作。', '不过欲以此斗富，与奇花石等耳。故京师人之贵竹，与江南人之不贵竹，其为不知竹一也。君生长于纷华而能不溺乎其中，裘马、僮奴、歌舞，凡诸富人所酣嗜，一切斥去。', '每览昔人兴感之由，若合一契，未尝不临文嗟悼，不能喻之于怀。固知一死生为虚诞，齐彭殇为妄作。后之视今，亦犹今之视昔，悲夫。', '不过欲以此斗富,与奇花石等耳。故京师人之贵竹，与江南人之不贵竹，其为不知缥一也。君生长于纷华而能不溺乎其中，裘马、僮奴、歌舞，凡诸富人所酣嗜,一切斥去。', '不过欲以此斗富,与奇花石等耳。故京师人之贵竹，与江南人之不贵竹，其为不知竹一也。格生长于纷华而能不溺乎其中，裘马、僮奴、歌舞，凡诸富人所酣嗜,一切斥去。', '不过欲以此斗富,与奇花石等耳。故京师人之贵竹，与江南人之不贵竹，其为不知始竹一也。君生长于纷华而能不溺乎其中，裘马、僮奴、歌舞，凡诸富人所酣嗜,一切斥去。', '不过欲以此斗富,与奇花石等耳。故京师人之贵竹，与江南人之不贵竹，其为不知竹一也。却君生长于纷华而能不溺乎其中，裘马、僮奴、歌舞，凡诸富人所酣嗜,一切斥去。', '，每览昔人兴感之毒，若合一契，未尝不临文嗟悼，不能喻之于怀。固知一死生为虚诞,齐彭殇为妄作。后之视今,亦犹今之视昔,悲夫。', '，每览昔人兴感之由，若合一途，未尝不临文嗟悼，不能喻之于怀。固知一死生为虚诞,齐彭殇为妄作。后之视今,亦犹今之视昔,悲夫。', '，每览昔人兴感之由，若合一契，后不临文嗟悼，不能喻之于怀。固知一死生为虚诞,齐彭殇为妄作。后之视今,亦犹今之视昔,悲夫。', '，每览昔人兴感之辐由，若合一契，未尝不临文嗟悼，不能喻之于怀。固知一死生为虚诞,齐彭殇为妄作。后之视今,亦犹今之视昔,悲夫。', '，每览昔人兴感之由，若合一羞契，未尝不临文嗟悼，不能喻之于怀。固知一死生为虚诞,齐彭殇为妄作。后之视今,亦犹今之视昔,悲夫。']"
1500,一,同一；一样,"['古今一也。', '，冥一也。，', '，一朝古今一也。，']"
1501,一,一旦,"['公子诚一开口请如姬，如姬必许诺。', '，德隆尊一开口请如姬，如姬必许诺。，', '，端公子诚一开口请如姬，如姬必许诺。，', '，公子诚一开口请徒如姬，如姬必许诺。，', '，公子诚一开口请如姬，不然如姬必许诺。，']"
1502,一,全；一概,"['而或长烟一空，皓月千里。', '公孙仪相鲁而嗜鱼，一国尽争买鱼而献之，公孙仪不受。其弟子谏曰：夫子嗜鱼而不受者，何也。', '岸芷汀兰，郁郁青青。而或长烟一空，皓月千里，浮光跃金，静影沉璧，渔歌互答，此乐何极。登斯楼也，则有心旷神怡，宠辱偕忘，把酒临风，其喜洋洋者矣。', '是日更定矣，余拏一小舟，拥毳衣炉火，独往湖心亭看雪。雾凇沆砀，天与云、与山、与水，上下一白。湖上影子，惟长堤一痕、湖心亭一点、与余舟一芥、舟中人两三粒而已。', '父异焉，借旁近与之，即书诗四句，并自为其名。其诗以养父母、收族为意，传一乡秀才观之。自是指物作诗立就，其文理皆有可观者。', '，公孙仪相鲁而嗜相国，一国尽争买鱼而献之，公孙仪不受。其弟子谏曰：夫子嗜鱼而不受者，何也。', '父异焉,借旁近与之,即书诗四句，并自为其名。其诗以养父母、收族为意，传一可乡秀才观之。自是指物作诗立就，其文理皆有可观者。，', '，岸芷汀兰，郁郁青青。而或长烟一桓温，皓月千里，浮光跃金,静影沉璧,渔歌互答,此乐何极。登斯楼也,则有心旷神怡,宠辱偕忘,把酒临风,其喜洋洋者矣。', '父异焉,借旁近与之,即书诗四句，并自为其名。其诗以养父母、收族为相与意，传一乡秀才观之。自是指物作诗立就，其文理皆有可观者。，', '，而或长例烟一空，皓月千里。，', '，公孙仪相有时鲁而嗜鱼，一国尽争买鱼而献之，公孙仪不受。其弟子谏曰：夫子嗜鱼而不受者，何也。', '，公孙仪相鲁而嗜亲鱼，一国尽争买鱼而献之，公孙仪不受。其弟子谏曰：夫子嗜鱼而不受者，何也。', '父异焉,借旁近与之,即书诗四句，并自为其名。其诗以养父母、收族为意，传一国语秀才观之。自是指物作诗立就，其文理皆有可观者。，', '父异焉,借旁近与之,即书诗四句，并自为其名。其诗以养父母、收礼乐为意，传一乡秀才观之。自是指物作诗立就，其文理皆有可观者。，', '，岸芷汀兰，郁郁青青。而或长烟一空，傥皓月千里，浮光跃金,静影沉璧,渔歌互答,此乐何极。登斯楼也,则有心旷神怡,宠辱偕忘,把酒临风,其喜洋洋者矣。', '，而或长烟一空，舅千里。，', '，所以然或长烟一空，皓月千里。，', '，岸芷汀兰，郁郁青青。而或长烟一几何空，皓月千里，浮光跃金,静影沉璧,渔歌互答,此乐何极。登斯楼也,则有心旷神怡,宠辱偕忘,把酒临风,其喜洋洋者矣。', '，公孙仪相鲁而嗜鱼，一国尽争买铺而献之，公孙仪不受。其弟子谏曰：夫子嗜鱼而不受者，何也。', '父异焉,借旁近与之,即书诗四句，并自为其名。其诗以养父母、收族为意，传一乡庠序观之。自是指物作诗立就，其文理皆有可观者。，']"
1503,一,才；刚刚,"['初一交战，操军不利。', '，初一交战，操梦中不利。，', '，初一交战，操久军不利。，']"
1504,_,送饭到田里吃,"['同我妇子，_彼南亩。', '，同我午，_彼南亩。，', '，同我妇子，_彼鹦鹉亩。，']"
1505,谒,名贴,"['使者惧而失谒，跑拾谒。', '其让国奈何。谒也，馀祭也，夷昧也，与季子同母者四。季子弱而才，兄弟皆爱之，同欲立之以为君。', '，军礼惧而失谒，跑拾谒。，', '，连使者惧而失谒，跑拾谒。，', '，其让国奈何。谒也，吏祭也，夷昧也,与季子同母者四。季子弱而才,兄弟皆爱之,同欲立之以为君。']"
1506,谒,拜见,"['父利其然也，日扳仲永环谒于邑人。', '田子方教育子击子击出，遭田子方于道，下车伏谒。子方不为礼。', '太子丹恐惧，乃请荆卿曰：秦兵旦暮渡易水，则虽欲长侍足下，岂可得哉。荆卿曰：微太子言，臣愿得谒之。今行而无信，则秦未可亲也。', '东阳马生君则，在太学已二年，流辈甚称其贤。余朝京师，生以乡人子谒余，撰长书以为贽，辞甚畅达，与之论辩，言和而色夷。自谓少时用心于学甚劳，是可谓善学者矣。', '邑人奇之，稍稍宾客其父，或以钱币乞之。父利其然也，日扳仲永环谒于邑人，不使学。余闻之也久。']"
1507,谒,请求,"['臣愿得谒之。', '，蔬愿得谒之。，', '，始终如一臣愿得谒之。，']"
1508,谒,告诉,"['臣请谒其故。', '而攻天下之所不欲，危。臣请谒其故：周，天下之宗室也。韩，周之与国也。', '，而攻天下之所不欲，危。臣请谒其故：南山，天下之宗室也。韩，周之与国也。', '，臣请谒其底。，', '，南方请谒其故。，', '，而攻天下之所不欲，危。臣请谒其故：善周，天下之宗室也。韩，周之与国也。', '，况臣请谒其故。，']"
1509,烨,火光明亮,"['膏之沃者其光烨。', '，膏之沃人民其光烨。，']"
1510,曳,拉拽；牵引,"['又夹百千求救声，曳屋许许声，抢夺声，泼水声。', '阅十余岁，僧募金重修，求二石兽于水中，竟不可得。以为顺流下矣，棹数小舟，曳铁钯，寻十余里无迹。一讲学家设帐寺中，闻之笑曰：尔辈不能究物理，是非木杮，岂能为暴涨携之去。', '事我而不卒，命也夫。婢初媵时，年十岁，垂双鬟，曳深绿布裳。一日天寒，爇火煮荸荠熟，婢削之盈瓯，予入自外，取食之，婢持去不与。', '三卧三起，其高出于次。棚木而床，横载之，曳以两牛，翼以十夫，其大者倍其数。行数百武，植于墓后，为三重。', '因其富厚，交通王侯，力过吏势，以利相倾。千里游遨，冠盖相望，乘坚策肥，履丝曳缟。此商人所以兼并农人，农人所以流亡者也。', '戴金翠之首饰，缀明珠以耀躯。践远游之文履，曳雾绡之轻裾。微幽兰之芳蔼兮，步踟蹰于山隅。', '孟子对曰：王好战，请以战喻。填然鼓之，兵刃既接，弃甲曳兵而走。或百步而后止，或五十步而后止。']"
1511,叶,世；时期,"['自炎汉中叶。', '，自敖庾中叶。，', '，自今炎汉中叶。，']"
1512,叶,植物的叶,"['用叶者取叶初长足时。', '，用叶否者取叶初长足时。，', '，用叶者取果叶初长足时。，']"
1513,叶,书页,"['鼠翻书叶响。', '故能纸札精致，字画完整，冠诸收书家。余性偶强记，每饭罢，坐归来堂烹茶，指堆积书史，言某事在某书、某卷、第几叶、第几行，以中否角胜负，为饮茶先后。中即举杯大笑，至茶倾覆怀中，反不得饮而起。', '，鼠翻湖心亭叶响。，', '，而今鼠翻书叶响。，', '，鼠翻难书叶响。，']"
1514,业,罪孽,"['造成今日之老大中国者，则中国老朽之冤业也。', '儿惧，啼告母。母闻之，面色灰死，大惊曰：业根，死期至矣。而翁归，自与汝复算耳。', '，造成今日之老大中国者，则中国老朽之荸荠业也。，', '，造成今日之老大中国者，则中国老朽之齐冤业也。，', '儿惧,啼告母。母闻之，面色灰死，生活惊曰：业根，死期至矣。而翁归，自与汝复算耳。', '儿惧,啼告母。母闻之，面色灰死，大惊曰：业权，死期至矣。而翁归，自与汝复算耳。', '儿惧,啼告母。母闻之，面色灰死，大惊曰：业根，箪至矣。而翁归，自与汝复算耳。', '儿惧,啼告母。母闻之，面色灰死，大惊曰：业肆根，死期至矣。而翁归，自与汝复算耳。', '儿惧,啼告母。母闻之，面色灰死，大惊曰：业根，倒死期至矣。而翁归，自与汝复算耳。']"
1515,业,事业；功业,"['先帝创业未半，而中道崩殂。', '今夫佩虎符、坐皋比者，洸洸乎干城之具也，果能授孙、吴之略耶。峨大冠、拖长绅者，昂昂乎庙堂之器也，果能建伊、皋之业耶。盗起而不知御，民困而不知救，吏奸而不知禁，法斁而不知理，坐糜廪粟而不知耻。', '前出师表臣亮言：先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。', '，骸创业未半，而中道崩殂。，', '，应声先帝创业未半，而中道崩殂。，', '今夫佩虎符、坐皋比者,洸洸乎干城之具也,果能授孙、吴之略耶。峨大冠、拖长绅者，昂昂乎庙堂之器也，果能建乐耳、皋之业耶。盗起而不知御，民困而不知救，吏奸而不知禁,法斁而不知理,坐糜廪粟而不知耻。', '今夫佩虎符、坐皋比者,洸洸乎干城之具也,果能授孙、吴之略耶。峨大冠、拖长绅者，昂昂乎庙堂之器也，果能建伊、陈箧之业耶。盗起而不知御，民困而不知救，吏奸而不知禁,法斁而不知理,坐糜廪粟而不知耻。', '今夫佩虎符、坐皋比者,洸洸乎干城之具也,果能授孙、吴之略耶。峨大冠、拖长绅者，昂昂乎庙堂之器也，果能建伊、皋之业耶。厨起而不知御，民困而不知救，吏奸而不知禁,法斁而不知理,坐糜廪粟而不知耻。', '今夫佩虎符、坐皋比者,洸洸乎干城之具也,果能授孙、吴之略耶。峨大冠、拖长绅者，昂昂乎庙堂之器也，果能建侧伊、皋之业耶。盗起而不知御，民困而不知救，吏奸而不知禁,法斁而不知理,坐糜廪粟而不知耻。', '今夫佩虎符、坐皋比者,洸洸乎干城之具也,果能授孙、吴之略耶。峨大冠、拖长绅者，昂昂乎庙堂之器也，果能建伊、相如皋之业耶。盗起而不知御，民困而不知救，吏奸而不知禁,法斁而不知理,坐糜廪粟而不知耻。', '今夫佩虎符、坐皋比者,洸洸乎干城之具也,果能授孙、吴之略耶。峨大冠、拖长绅者，昂昂乎庙堂之器也，果能建伊、皋之业耶。大约盗起而不知御，民困而不知救，吏奸而不知禁,法斁而不知理,坐糜廪粟而不知耻。', '，前出长流臣亮言：先帝创业未半而中道崩殂，今天下三分，益州疲弊,此诚危急存亡之秋也。然侍卫之臣不懈于内,忠志之士忘身于外者,盖追先帝之殊遇,欲报之于陛下也。', '，前出师表臣亮言：先帝创业未半而尤中道崩殂，今天下三分，益州疲弊,此诚危急存亡之秋也。然侍卫之臣不懈于内,忠志之士忘身于外者,盖追先帝之殊遇,欲报之于陛下也。']"
1516,业,职业；职守,"['武陵人捕鱼为业。', '吾兄之盛德而夭其嗣矣。汝之纯明宜业其家者，不克蒙其泽矣。所谓天者诚难测，而神者诚难明矣。', '甚矣哉，为欺也。卖者笑曰：吾业是有年矣，吾赖是以食吾躯。吾售之，人取之，未尝有言，而独不足子所乎。', '，山西人捕鱼为业。，', '，武陵嘉瑞捕鱼为业。，', '，岂武陵人捕鱼为业。，', '，武陵咸人捕鱼为业。，', '，吾兄之盛德而夭其嗣矣。汝之崩明宜业其家者，不克蒙其泽矣。所谓天者诚难测，而神者诚难明矣。', '，吾兄之盛德而夭其嗣矣。汝之纯玉树宜业其家者，不克蒙其泽矣。所谓天者诚难测，而神者诚难明矣。', '，吾兄之盛德而夭其嗣矣。汝之纯明荫业其家者，不克蒙其泽矣。所谓天者诚难测，而神者诚难明矣。', '，吾兄之盛德而夭其嗣矣。汝之纯明宜业其水陆者，不克蒙其泽矣。所谓天者诚难测，而神者诚难明矣。', '，甚矣哉，为欺也。心中笑曰：吾业是有年矣，吾赖是以食吾躯。吾售之，人取之,未尝有言,而独不足子所乎。']"
1517,业,从事,"['吾业是有年矣。', '是以地无四方，民无异国，四时充美，鬼神降福，此五帝三王之所以无敌也。今乃弃黔首以资敌国，却宾客以业诸侯，使天下之士退而不敢西向，裹足不入秦，此所谓借寇兵而赍盗粮者也。夫物不产于秦，可宝者多。', '师说古之学者必有师。师者，所以传道受业解惑也。人非生而知之者，孰能无惑。', '是以地无四方,民无异国,四时充美,鬼神降福，此五帝三王之所以无敌也。今乃弃黔首以资敌国，却宾客以业粮，使天下之士退而不敢西向，裹足不入秦,此所谓借寇兵而赍盗粮者也。夫物不产于秦,可宝者多。', '，吾业是有乍年矣。，', '，吾业是有总数矣。，', '，师说古之学者必有师。师者，所以传道受业解惑也。鼠非生而知之者，孰能无惑。，', '是以地无四方,民无异国,四时充美,鬼神降福，此五帝三王之所以无敌也。今乃弃黔首以资敌国，却宾客以业诸侯，使武王之士退而不敢西向，裹足不入秦,此所谓借寇兵而赍盗粮者也。夫物不产于秦,可宝者多。', '是以地无四方,民无异国,四时充美,鬼神降福，此五帝三王之所以无敌也。今乃弃黔首以资敌国，却不啻宾客以业诸侯，使天下之士退而不敢西向，裹足不入秦,此所谓借寇兵而赍盗粮者也。夫物不产于秦,可宝者多。', '是以地无四方,民无异国,四时充美,鬼神降福，此五帝三王之所以无敌也。今乃弃黔首以资敌国，却梁国以业诸侯，使天下之士退而不敢西向，裹足不入秦,此所谓借寇兵而赍盗粮者也。夫物不产于秦,可宝者多。', '是以地无四方,民无异国,四时充美,鬼神降福，此五帝三王之所以无敌也。今乃弃黔首以资敌国，却宾客以业诸侯，使甚天下之士退而不敢西向，裹足不入秦,此所谓借寇兵而赍盗粮者也。夫物不产于秦,可宝者多。', '是以地无四方,民无异国,四时充美,鬼神降福，此五帝三王之所以无敌也。今乃弃黔首以资及时敌国，却宾客以业诸侯，使天下之士退而不敢西向，裹足不入秦,此所谓借寇兵而赍盗粮者也。夫物不产于秦,可宝者多。']"
1518,业,产业,"['我固为子孙创业也。', '其子欲诉诸官。医人曰：我业治驼，但管人直，不管人死。呜呼。', '，我固为童趣创业也。，', '，我固为半日子孙创业也。，', '，其子欲诉诸官。医人曰：我业治菊，但管人直，不管人死。呜呼。', '，其子欲诉诸官。加之医人曰：我业治驼，但管人直，不管人死。呜呼。']"
1519,业,已经,['若业为吾所有，必高束焉，庋藏焉。']
1520,业,学业,"['其业有不精，德有不成，非天质之卑，则心不若余之专耳。', '，其业有不精，肴有不成，非天质之卑,则心不若余之专耳。', '，其业有不精，欣然德有不成，非天质之卑,则心不若余之专耳。']"
1521,野,郊外；田野,"['永州之野产异蛇。', '捕蛇者说永州之野产异蛇，黑质而白章，触草木，尽死。以啮人，无御之者。', '此能为大矣，而不能执鼠。今子有大树，患其无用，何不树之于无何有之乡，广莫之野，彷徨乎无为其侧，逍遥乎寝卧其下。不夭斤斧，物无害者，无所可用，安所困苦哉。', '，捕草屋者说永州之野产异蛇，黑质而白章，触草木,尽死。以啮人,无御之者。', '，捕蛇者说永州之野产异齐蛇，黑质而白章，触草木,尽死。以啮人,无御之者。', '，永州之野产异偶然蛇。，', '，然后永州之野产异蛇。，', '，永州之野产异桐。，']"
1522,野,野外自然生长的,"['野芳发而幽香。', '，野东发而幽香。，', '，野皇芳发而幽香。，']"
1523,野,粗野,"['天下有缙绅士大夫所不能言，而野老鄙夫能言者，往往而然。', '，天下有缙绅士大夫所不能言，而野老名将夫能言者，往往而然。，', '，天下有缙绅士大夫所不能言，而野老鄙总数能言者，往往而然。，', '，天下有缙绅士大夫所不能言，而野老鄙太白夫能言者，往往而然。，']"
1524,野,民间，与“朝”相对,"['况草野之无闻者欤？', '，况草野之无相闻者欤？，']"
1525,冶,冶炼金属,"['冶铸煮盐。', '郑、卫之女不充后宫，而骏良駃騠不实外厩，江南金锡不为用，西蜀丹青不为采。所以饰后宫，充下陈，娱心意，说耳目者，必出于秦然后可，则是宛珠之簪，傅玑之珥，阿缟之衣，锦绣之饰不进于前，而随俗雅化，佳冶窈窕，赵女不立于侧也。夫击瓮叩缶弹筝搏髀，而歌呼呜呜快耳者，真秦之声也。', '郑、卫之女不充后宫,而骏良駃騠不实外厩,江南金锡不为用,西蜀丹青不为采。所以饰后宫,充下陈,娱心意,说耳目者,必出于秦然后可,则是宛珠之簪,傅玑之珥,阿缟之衣,锦绣之饰不进于前，而随俗雅化，佳冶岂能窈窕，赵女不立于侧也。夫击瓮叩缶弹筝搏髀，而歌呼呜呜快耳者,真秦之声也。', '郑、卫之女不充后宫,而骏良駃騠不实外厩,江南金锡不为用,西蜀丹青不为采。所以饰后宫,充下陈,娱心意,说耳目者,必出于秦然后可,则是宛珠之簪,傅玑之珥,阿缟之衣,锦绣之饰不进于前，而随俗雅化，佳冶窈窕，久已赵女不立于侧也。夫击瓮叩缶弹筝搏髀，而歌呼呜呜快耳者,真秦之声也。']"
1526,冶,冶炼工匠,['良冶之子，必学为裘。']
1527,掖,拽着别人的胳膊,"['余掖杀国子，莫余敢止。', '故作是诗以诱掖其君也。', '乡里称君为善士。君择子侄之秀者，起学室，延名儒以掖之，子、侄杰仿举进士第，今为曹南令族。。']"
1528,耶,用于句末，又写作“邪”,"['然则何时而乐耶？', '又安敢毒耶？', '得无教我猎虫所耶？', '审知故扬州阁部史公果死耶，抑未死耶？', '有戴嵩《牛》一轴，尤所爱，锦囊玉轴，常以自随。一日，曝书画，有一牧童见之，拊掌大笑，曰：此画斗牛耶。牛斗，力在角，尾搐入两股间。', '盖一岁之犯死者二焉，其余则熙熙而乐，岂若吾乡邻之旦旦有是哉。今虽死乎此，比吾乡邻之死则已后矣，又安敢毒耶。余闻而愈悲，孔子曰：苛政猛于虎也。', '彼其受之天也，如此其贤也，不受之人，且为众人。今夫不受之天，固众人，又不受之人，得为众人而已耶。词句注释。', '水土异也。今民生长于齐不盗，入楚则盗，得无楚之水土使民善盗耶。王笑曰：圣人非所与熙也，寡人反取病焉。']"
1529,耀,照耀,"['日出天而耀景。', '增日月之耀。']"
1530,曜,照耀,"['明镫曜闺中。', '肤色玉曜。', '，惠公镫曜闺中。，', '，明镫曜素闺中。，']"
1531,曜,日光,"['晨光初散，则延曜入石。', '日星隐曜。', '余告之曰：其形也，翩若惊鸿，婉若游龙。荣曜秋菊，华茂春松。髣髴兮若轻云之蔽月，飘飖兮若流风之回雪。', '若夫霪雨霏霏，连月不开，阴风怒号，浊浪排空。日星隐曜，山岳潜形。商旅不行，樯倾楫摧。']"
1532,要,重要,"['筑石寨土堡于要隘。', '，筑槐寨土堡于要隘。，', '，筑石寨械于要隘。，', '，筑还有石寨土堡于要隘。，', '，筑石寨惠土堡于要隘。，']"
